group,track_id,previous_frame,current_frame,frame_gap,dx,dy,center_distance
zm1_1,2,80,81,1,0.0,0.0,0.0
zm1_1,2,81,82,1,0.0,0.0,0.0
zm1_1,2,82,83,1,0.0,0.0,0.0
zm1_1,2,83,84,1,0.0,0.0,0.0
zm1_1,2,84,85,1,0.0,0.0,0.0
zm1_1,2,85,86,1,0.0,0.0,0.0
zm1_1,2,86,87,1,0.0,0.0,0.0
zm1_1,2,87,88,1,0.0,0.0,0.0
zm1_1,2,88,89,1,0.0,0.0,0.0
zm1_1,2,89,90,1,0.0,0.0,0.0
zm1_1,2,90,91,1,0.0,0.0,0.0
zm1_1,2,91,92,1,0.0,0.0,0.0
zm1_1,2,92,93,1,0.0,0.0,0.0
zm1_1,2,93,94,1,0.0,0.0,0.0
zm1_1,2,94,95,1,0.0,0.0,0.0
zm1_1,2,95,96,1,0.0,0.0,0.0
zm1_1,2,96,97,1,0.0,0.0,0.0
zm1_1,3,1,2,1,0.0,-0.5,0.5
zm1_1,3,2,3,1,0.0,0.0,0.0
zm1_1,3,3,4,1,0.0,-0.5,0.5
zm1_1,3,4,5,1,0.0,0.0,0.0
zm1_1,3,5,6,1,0.0,0.0,0.0
zm1_1,3,6,7,1,0.0,-0.5,0.5
zm1_1,3,7,8,1,-0.5,0.0,0.5
zm1_1,3,8,9,1,0.0,0.0,0.0
zm1_1,3,9,10,1,0.0,-0.5,0.5
zm1_1,3,10,11,1,0.0,0.0,0.0
zm1_1,3,11,12,1,0.0,-0.5,0.5
zm1_1,3,12,13,1,0.0,0.0,0.0
zm1_1,3,13,14,1,0.0,0.0,0.0
zm1_1,3,14,15,1,-0.5,-0.5,0.7071067811865476
zm1_1,3,15,16,1,0.0,0.0,0.0
zm1_1,3,16,17,1,0.0,0.0,0.0
zm1_1,3,17,18,1,0.0,0.0,0.0
zm1_1,3,18,19,1,0.0,0.0,0.0
zm1_1,3,19,20,1,0.0,0.0,0.0
zm1_1,3,20,21,1,0.0,0.0,0.0
zm1_1,3,21,22,1,0.0,0.0,0.0
zm1_1,3,22,23,1,0.0,0.0,0.0
zm1_1,3,23,24,1,0.0,0.0,0.0
zm1_1,3,24,25,1,0.0,0.0,0.0
zm1_1,3,25,26,1,0.0,0.0,0.0
zm1_1,3,26,27,1,0.0,0.0,0.0
zm1_1,3,27,28,1,0.0,0.0,0.0
zm1_1,3,28,29,1,0.0,0.0,0.0
zm1_1,3,29,30,1,0.0,0.0,0.0
zm1_1,3,30,31,1,0.0,0.0,0.0
zm1_1,3,31,32,1,0.0,0.0,0.0
zm1_1,3,32,33,1,0.0,0.0,0.0
zm1_1,3,33,34,1,0.0,0.0,0.0
zm1_1,3,34,35,1,0.0,0.0,0.0
zm1_1,3,35,36,1,0.0,0.0,0.0
zm1_1,3,36,37,1,0.0,0.0,0.0
zm1_1,3,37,38,1,0.0,0.0,0.0
zm1_1,3,38,39,1,0.0,0.0,0.0
zm1_1,3,39,40,1,0.0,0.5,0.5
zm1_1,3,40,41,1,0.0,0.0,0.0
zm1_1,3,41,42,1,0.0,0.0,0.0
zm1_1,3,42,43,1,0.0,0.0,0.0
zm1_1,3,43,44,1,0.0,0.0,0.0
zm1_1,3,44,45,1,0.0,0.0,0.0
zm1_1,3,45,46,1,0.0,0.0,0.0
zm1_1,3,46,47,1,0.0,0.0,0.0
zm1_1,3,47,48,1,0.0,0.0,0.0
zm1_1,3,48,49,1,0.0,0.0,0.0
zm1_1,3,49,50,1,0.0,0.0,0.0
zm1_1,3,50,51,1,0.0,0.0,0.0
zm1_1,3,51,52,1,0.0,0.0,0.0
zm1_1,3,52,53,1,0.0,0.0,0.0
zm1_1,3,53,54,1,0.0,0.0,0.0
zm1_1,3,54,55,1,0.0,0.0,0.0
zm1_1,3,55,56,1,0.0,0.0,0.0
zm1_1,3,56,57,1,0.0,0.0,0.0
zm1_1,3,57,58,1,0.0,0.0,0.0
zm1_1,3,58,59,1,-0.5,0.0,0.5
zm1_1,3,59,60,1,0.0,0.0,0.0
zm1_1,3,60,61,1,0.0,0.0,0.0
zm1_1,3,61,62,1,0.0,0.0,0.0
zm1_1,3,62,63,1,0.0,0.0,0.0
zm1_1,3,63,64,1,0.0,0.0,0.0
zm1_1,3,64,65,1,0.0,0.0,0.0
zm1_1,3,65,66,1,0.0,0.0,0.0
zm1_1,3,66,67,1,0.0,0.0,0.0
zm1_1,3,67,68,1,0.0,0.0,0.0
zm1_1,3,68,69,1,0.0,0.0,0.0
zm1_1,3,69,70,1,0.0,0.0,0.0
zm1_1,3,70,71,1,0.0,0.0,0.0
zm1_1,3,71,72,1,0.0,0.0,0.0
zm1_1,3,72,73,1,0.0,0.0,0.0
zm1_1,3,73,74,1,0.5,0.0,0.5
zm1_1,3,74,75,1,0.5,0.0,0.5
zm1_1,3,75,76,1,0.5,0.0,0.5
zm1_1,3,76,77,1,0.5,0.0,0.5
zm1_1,3,77,78,1,0.5,0.0,0.5
zm1_1,3,78,79,1,0.5,0.0,0.5
zm1_1,3,79,80,1,0.5,0.0,0.5
zm1_1,3,80,81,1,0.5,0.0,0.5
zm1_1,3,81,82,1,0.5,0.0,0.5
zm1_1,3,82,83,1,1.0,0.0,1.0
zm1_1,3,83,84,1,0.5,0.0,0.5
zm1_1,3,84,85,1,0.5,0.0,0.5
zm1_1,3,85,86,1,-0.5,-0.5,0.7071067811865476
zm1_1,3,86,87,1,-0.5,-0.5,0.7071067811865476
zm1_1,3,87,88,1,-0.5,-0.5,0.7071067811865476
zm1_1,3,88,89,1,1.5,-0.5,1.5811388300841898
zm1_1,3,89,90,1,1.0,-0.5,1.118033988749895
zm1_1,3,90,91,1,0.5,-1.0,1.118033988749895
zm1_1,3,91,92,1,1.0,-0.5,1.118033988749895
zm1_1,3,92,93,1,1.5,-0.5,1.5811388300841898
zm1_1,3,93,94,1,0.5,-0.5,0.7071067811865476
zm1_1,3,94,95,1,1.0,-0.5,1.118033988749895
zm1_1,3,95,96,1,1.5,-0.5,1.5811388300841898
zm1_1,3,96,97,1,1.0,-0.5,1.118033988749895
zm1_1,4,1,2,1,0.0,0.0,0.0
zm1_1,4,2,3,1,-0.5,0.0,0.5
zm1_1,4,3,4,1,0.0,0.0,0.0
zm1_1,4,4,5,1,0.0,0.0,0.0
zm1_1,4,5,6,1,0.0,0.0,0.0
zm1_1,4,6,7,1,0.0,0.0,0.0
zm1_1,4,7,8,1,0.5,0.0,0.5
zm1_1,4,8,9,1,-0.5,0.0,0.5
zm1_1,4,9,10,1,0.0,0.0,0.0
zm1_1,4,10,11,1,0.0,0.0,0.0
zm1_1,4,11,12,1,0.0,0.0,0.0
zm1_1,4,12,13,1,0.0,0.0,0.0
zm1_1,4,13,14,1,0.0,0.0,0.0
zm1_1,4,14,15,1,0.0,0.0,0.0
