group,track_id,transitions,transition_sequence
zm3_11,6,1,zm_im -> zm_el
zm3_11,7,1,zm_im -> zm_el
zm3_11,8,1,zm_im -> zm_el
zm3_11,9,1,zm_im -> zm_el
zm3_11,10,1,zm_im -> zm_el
zm3_12,1,1,zm_im -> zm_el
zm3_12,2,1,zm_im -> zm_el
zm3_12,3,0,
zm3_12,4,1,zm_im -> zm_el
zm3_12,5,1,zm_im -> zm_el
zm3_12,6,1,zm_im -> zm_el
zm3_12,7,1,zm_im -> zm_el
zm3_12,8,1,zm_im -> zm_el
zm3_12,9,0,
zm3_12,10,0,
zm3_2,1,0,
zm3_2,2,1,zm_im -> zm_el
zm3_2,3,1,zm_im -> zm_el
zm3_2,4,1,zm_im -> zm_el
zm3_2,5,1,zm_im -> zm_el
zm3_2,6,1,zm_im -> zm_el
zm3_2,7,1,zm_im -> zm_el
zm3_2,8,1,zm_im -> zm_el
zm3_2,9,1,zm_im -> zm_el
zm3_2,10,0,
zm3_3,1,0,
zm3_3,2,1,zm_im -> zm_el
zm3_3,3,1,zm_im -> zm_el
zm3_3,4,1,zm_im -> zm_el
zm3_3,5,1,zm_im -> zm_el
zm3_3,6,1,zm_im -> zm_el
zm3_3,7,1,zm_im -> zm_el
zm3_3,8,1,zm_im -> zm_el
zm3_3,9,1,zm_im -> zm_el
zm3_3,10,1,zm_im -> zm_el
zm3_4,1,1,zm_im -> zm_el
zm3_4,2,1,zm_im -> zm_el
zm3_4,3,1,zm_im -> zm_el
zm3_4,4,1,zm_im -> zm_el
zm3_4,5,0,
zm3_4,6,1,zm_im -> zm_el
zm3_4,7,1,zm_im -> zm_el
zm3_4,8,1,zm_im -> zm_el
zm3_4,9,0,
zm3_4,10,1,zm_im -> zm_el
zm3_5,1,1,zm_im -> zm_el
zm3_5,2,1,zm_im -> zm_el
zm3_5,3,1,zm_im -> zm_el
zm3_5,4,1,zm_im -> zm_el
zm3_5,5,1,zm_im -> zm_el
zm3_5,6,1,zm_im -> zm_el
zm3_5,7,1,zm_im -> zm_el
zm3_5,8,1,zm_im -> zm_el
zm3_6,1,1,zm_im -> zm_el
zm3_6,2,1,zm_im -> zm_el
zm3_6,3,1,zm_im -> zm_el
zm3_6,4,1,zm_im -> zm_el
zm3_6,5,1,zm_im -> zm_el
zm3_6,6,1,zm_im -> zm_el
zm3_6,7,1,zm_im -> zm_el
zm3_6,8,1,zm_im -> zm_el
zm3_6,9,0,
zm3_7,1,1,zm_im -> zm_el
zm3_7,2,1,zm_im -> zm_el
zm3_7,3,1,zm_im -> zm_el
zm3_7,4,1,zm_im -> zm_el
zm3_7,5,1,zm_im -> zm_el
zm3_7,6,1,zm_im -> zm_el
zm3_7,7,1,zm_im -> zm_el
zm3_7,8,1,zm_im -> zm_el
zm3_7,9,1,zm_im -> zm_el
zm3_7,10,1,zm_im -> zm_el
zm3_8,1,1,zm_im -> zm_el
zm3_8,2,0,
zm3_8,3,1,zm_im -> zm_el
zm3_8,4,1,zm_im -> zm_el
zm3_8,5,1,zm_im -> zm_el
zm3_8,6,1,zm_im -> zm_el
zm3_8,7,0,
zm3_8,8,1,zm_im -> zm_el
zm3_8,9,0,
zm3_8,10,0,
zm3_9,1,0,
zm3_9,2,0,
zm3_9,3,0,
zm3_9,4,1,zm_im -> zm_el
zm3_9,5,0,
zm3_9,6,0,
zm3_9,7,1,zm_im -> zm_el
zm3_9,8,1,zm_im -> zm_el
zm3_9,9,0,
zm3_9,10,1,zm_im -> zm_el
zm4_1,1,0,
zm4_1,2,1,zm_im -> zm_el
zm4_1,3,1,zm_im -> zm_el
zm4_1,4,1,zm_im -> zm_el
zm4_1,5,1,zm_im -> zm_el
zm4_1,6,1,zm_im -> zm_el
zm4_1,7,1,zm_im -> zm_el
zm4_1,8,0,
zm4_10,1,1,zm_im -> zm_el
zm4_10,2,1,zm_im -> zm_el
zm4_10,3,0,
zm4_10,4,1,zm_im -> zm_el
zm4_10,5,1,zm_im -> zm_el
zm4_10,6,1,zm_im -> zm_el
zm4_10,7,1,zm_im -> zm_el
zm4_10,8,1,zm_im -> zm_el
zm4_11,1,1,zm_im -> zm_el
zm4_11,2,0,
zm4_11,3,1,zm_im -> zm_el
zm4_11,4,0,
zm4_11,5,1,zm_im -> zm_el
zm4_11,6,1,zm_im -> zm_el
zm4_11,7,0,
zm4_11,8,1,zm_im -> zm_el
zm4_11,9,1,zm_im -> zm_el
zm4_11,10,1,zm_im -> zm_el
zm4_12,1,1,zm_im -> zm_el
zm4_12,2,1,zm_im -> zm_el
zm4_12,3,1,zm_im -> zm_el
zm4_12,4,1,zm_im -> zm_el
zm4_12,5,1,zm_im -> zm_el
zm4_12,6,1,zm_im -> zm_el
zm4_12,7,1,zm_im -> zm_el
zm4_12,8,1,zm_im -> zm_el
zm4_12,9,1,zm_im -> zm_el
zm4_12,10,1,zm_im -> zm_el
zm4_2,1,1,zm_im -> zm_el
zm4_2,2,1,zm_im -> zm_el
zm4_2,3,0,
zm4_2,4,1,zm_im -> zm_el
zm4_2,5,1,zm_im -> zm_el
zm4_2,6,1,zm_im -> zm_el
zm4_2,7,1,zm_im -> zm_el
zm4_3,1,1,zm_im -> zm_el
zm4_3,2,0,
zm4_3,3,1,zm_im -> zm_el
zm4_3,4,0,
zm4_3,5,1,zm_im -> zm_el
zm4_3,6,0,
zm4_3,7,1,zm_im -> zm_el
zm4_3,8,1,zm_im -> zm_el
zm4_3,9,1,zm_im -> zm_el
zm4_3,10,1,zm_im -> zm_el
zm4_4,1,1,zm_im -> zm_el
zm4_4,2,1,zm_im -> zm_el
zm4_4,3,1,zm_im -> zm_el
zm4_4,4,1,zm_im -> zm_el
zm4_4,5,1,zm_im -> zm_el
zm4_4,6,1,zm_im -> zm_el
zm4_4,7,1,zm_im -> zm_el
zm4_4,8,1,zm_im -> zm_el
zm4_5,1,0,
zm4_5,2,1,zm_im -> zm_el
zm4_5,3,1,zm_im -> zm_el
zm4_5,4,1,zm_im -> zm_el
zm4_5,5,1,zm_im -> zm_el
zm4_5,6,0,
zm4_5,7,0,
zm4_5,8,0,
zm4_6,1,1,zm_im -> zm_el
zm4_6,2,1,zm_im -> zm_el
zm4_6,3,1,zm_im -> zm_el
zm4_6,4,1,zm_im -> zm_el
zm4_6,5,1,zm_im -> zm_el
zm4_6,6,1,zm_im -> zm_el
zm4_6,7,1,zm_im -> zm_el
zm4_6,8,1,zm_im -> zm_el
zm4_7,1,1,zm_im -> zm_el
zm4_7,2,1,zm_im -> zm_el
zm4_7,3,0,
zm4_7,4,1,zm_im -> zm_el
zm4_7,5,0,
zm4_7,6,1,zm_im -> zm_el
