group,track_id,first_frame,last_frame,observed_frames,expected_frames,missing_frames,coverage,transitions,transition_sequence,mean_movement,max_movement,mean_iou,min_iou,low_iou_count,suspicious
zm3_9,7,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.036458333333333336,0.5,0.998815519126765,0.9696969696969697,0,False
zm3_9,8,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.09375,0.5,0.997326460433979,0.978021978021978,0,False
zm3_9,9,1,97,97,97,0,1.0,0,,0.028199028970693204,0.7071067811865476,0.9990974130983603,0.9708324462422823,0,False
zm3_9,10,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.19486569563735986,1.0,0.9945555035685403,0.9714285714285714,0,False
zm4_1,1,1,97,97,97,0,1.0,0,,0.036458333333333336,0.5,0.9988864850776711,0.9733333333333334,0,False
zm4_1,2,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.046875,0.5,0.9986945282744828,0.9841269841269841,0,False
zm4_1,3,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.17098139127471976,0.7071067811865476,0.9955983097687667,0.9745951095585901,0,False
zm4_1,4,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.06465736230402654,0.7071067811865476,0.9980781221862797,0.971609477124183,0,False
zm4_1,5,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.1483608404908259,0.7071067811865476,0.9956717800388212,0.9731299927378358,0,False
zm4_1,6,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.07507402897069321,0.7071067811865476,0.9981717370339336,0.9755526277265407,0,False
zm4_1,7,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.09192854968683795,1.118033988749895,0.9972161012881697,0.9566405538349426,0,False
zm4_1,8,1,97,97,97,0,1.0,0,,0.020833333333333332,0.5,0.9994038936504915,0.9846153846153847,0,False
zm4_10,1,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.21773676191448688,1.5811388300841898,0.9939037500451943,0.9542910447761194,0,False
zm4_10,2,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.31384364796345793,1.118033988749895,0.9923836039737405,0.9674358974358974,0,False
zm4_10,3,1,97,97,97,0,1.0,0,,0.06893785404947807,1.118033988749895,0.9975851523941851,0.9319620253164557,0,False
zm4_10,4,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.12363942126411383,3.1622776601683795,0.996578475449145,0.895260989010989,0,False
zm4_10,5,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.32149983734550236,1.8027756377319946,0.9918913968876831,0.9005468908243873,0,False
zm4_10,6,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.08549069563735988,2.0,0.9975545385274618,0.9384615384615385,0,False
zm4_10,7,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.09192854968683795,1.118033988749895,0.9975851762216447,0.9622088006902502,0,False
zm4_10,8,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.30163976384623076,1.4142135623730951,0.990017217232329,0.9512494251111452,0,False
zm4_11,1,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.22685598534429188,1.0,0.9919106452655527,0.9591794012978857,0,False
zm4_11,2,1,97,97,97,0,1.0,0,,0.052083333333333336,1.0,0.9982424042460684,0.9666666666666667,0,False
zm4_11,3,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.4669182570621551,12.041594578792296,0.9877993323384006,0.7252545484894007,0,False
zm4_11,4,1,97,97,97,0,1.0,0,,0.034636883020171275,1.118033988749895,0.9987756512225503,0.9554363042463836,0,False
zm4_11,5,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.2125654125002149,1.5811388300841898,0.9947314613380822,0.9516129032258065,0,False
zm4_11,6,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.23140392335540483,1.118033988749895,0.9928809349145196,0.9574223245109321,0,False
zm4_11,7,1,97,97,97,0,1.0,0,,0.026041666666666668,0.5,0.9993381480988602,0.984375,0,False
zm4_11,8,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.1388377825494395,1.0,0.9961032858867646,0.9722222222222222,0,False
zm4_11,9,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.13084950846675866,2.0615528128088303,0.9964299592268205,0.9248392282958199,0,False
zm4_11,10,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.24586786836446317,1.4142135623730951,0.9932729623720243,0.9496567505720824,0,False
zm4_12,1,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.20380065610272924,7.762087348130012,0.9931615996522204,0.7463706233988044,0,False
zm4_12,2,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.1531990289706932,0.7071067811865476,0.9946480905522206,0.9172126265634306,0,False
zm4_12,3,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.20163946167770241,1.118033988749895,0.9947555300926222,0.9659469642080858,0,False
zm4_12,4,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.2491634814563384,1.118033988749895,0.9928946016652587,0.9440669106116049,0,False
zm4_12,5,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.3136614152862334,8.276472678623424,0.9889299033678691,0.5988791032826261,0,False
zm4_12,6,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.5430015600769844,9.013878188659973,0.9843391585434088,0.7792207792207793,0,False
zm4_12,7,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.4825613389476114,2.0615528128088303,0.9873073755537232,0.9394760614272809,0,False
zm4_12,8,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.2954579274029055,1.0,0.9927606118798286,0.9662532448803,0,False
zm4_12,9,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.10327305794138641,0.7071067811865476,0.997226977428474,0.97350640113798,0,False
zm4_12,10,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.1540442251174035,1.5811388300841898,0.9958296659661205,0.9402061855670103,0,False
zm4_2,1,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.421875,1.5,0.9921110050552157,0.9682539682539683,0,False
zm4_2,2,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.43222967069253865,1.4142135623730951,0.9853372972136295,0.9386954389406572,0,False
zm4_2,3,1,97,97,97,0,1.0,0,,0.046875,0.5,0.998778650585368,0.9850746268656716,0,False
zm4_2,4,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.36824413237024106,1.4142135623730951,0.9901714707968853,0.9566570881226054,0,False
zm4_2,5,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.4394511583505352,1.8027756377319946,0.987318670235465,0.9403202328966521,0,False
zm4_2,6,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.29369297095095176,2.0,0.9931765600165878,0.9550958034559774,0,False
zm4_2,7,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.125,0.5,0.9968165246071409,0.9833333333333333,0,False
zm4_3,1,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.11889805794138641,1.0,0.996525903156288,0.9727699530516432,0,False
zm4_3,2,1,97,97,97,0,1.0,0,,0.015625,0.5,0.9995364369986346,0.9838709677419355,0,False
zm4_3,3,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.1544627825494395,0.7071067811865476,0.9954371861817758,0.9657833430401864,0,False
zm4_3,4,1,97,97,97,0,1.0,0,,0.046875,1.0,0.9985693808527881,0.9696969696969697,0,False
zm4_3,5,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.03125,0.5,0.9992034445061999,0.9868421052631579,0,False
zm4_3,6,1,97,97,97,0,1.0,0,,0.036458333333333336,0.5,0.9990162592973291,0.9861111111111112,0,False
zm4_3,7,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.06986569563735988,0.7071067811865476,0.9973058640836925,0.9562801037421267,0,False
zm4_3,8,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.026041666666666668,0.5,0.9992914046747353,0.9852941176470589,0,False
zm4_3,9,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.08243972460805307,0.7071067811865476,0.9978212827315297,0.9740975935828877,0,False
