group,tracks,complete_tracks,missing_frame_events,mean_movement,max_movement,mean_iou,low_iou_events,class_transitions
zm4_2,7,7,0,0.30390970462346667,2.0,0.9919585969300416,0,6
zm4_3,10,10,0,0.07624207099523451,1.0,0.9977948451911589,0,7
zm4_4,8,8,0,0.4448365163117043,13.865424623862047,0.9896023204078276,0,8
zm4_5,8,8,0,0.05825864672801991,0.7071067811865476,0.9983182535699046,0,4
zm4_6,8,8,0,0.22774317367280086,21.592822881689184,0.9936371627291015,0,8
zm4_7,10,10,0,0.10074428872252067,11.715374513859981,0.996957516609614,0,7
zm4_8,10,10,0,0.05142079274029055,1.0,0.9985757270664951,0,5
zm4_9,8,8,0,0.5831988166792851,30.083217912982647,0.9856145803063386,0,7
zm5_1,10,10,0,0.26284725713734686,4.0,0.9932903903903266,0,8
zm5_10,10,10,0,0.29599954597915407,4.743416490252569,0.9918840678305242,0,7
zm5_11,10,10,0,0.24715087304128475,2.0,0.9937395951588017,0,8
zm5_12,10,10,0,0.10196445152308652,2.8284271247461903,0.997306988228042,0,8
zm5_2,10,10,0,0.1976647128229874,10.295630140987,0.9941443568788538,0,7
zm5_3,10,10,0,0.23882730279208667,4.5,0.9937394766332619,0,8
zm5_4,10,10,0,0.1101219795299256,2.5,0.9968787970706718,0,10
zm5_5,10,10,0,0.16115619857851768,3.640054944640259,0.9958741185821827,0,8
zm5_6,10,10,0,0.2978219237240923,17.00735135169495,0.99202699398697,0,10
zm5_7,10,10,0,0.26733541775779607,5.0,0.9933031747118387,0,7
zm5_8,11,11,0,0.14989158035027753,19.13765920900464,0.9959468639210666,0,11
zm5_9,10,10,0,0.2283179907386261,12.093386622447824,0.9934809187667902,0,7
zm6_1,10,10,0,0.23472756579253282,3.5355339059327378,0.9942037358856549,0,8
zm6_10,10,10,0,0.2777910768875982,7.433034373659253,0.9930088264762031,0,8
zm6_11,10,10,0,0.19565414729076472,2.5,0.9953795144224882,0,7
zm6_12,10,10,0,0.06545426769341513,1.118033988749895,0.998221529962435,0,5
zm6_2,10,10,0,0.13506245465295255,2.0615528128088303,0.9964690522966027,0,9
zm6_3,10,10,0,0.2857425262146446,17.7341478509682,0.9928774531375794,0,9
zm6_4,10,10,0,0.08264149258776914,1.5811388300841898,0.9977408364381712,0,9
zm6_5,10,10,0,0.11490096352667964,2.0,0.9970912163358121,0,8
zm6_6,10,10,0,0.20820728198428096,9.192388155425117,0.994805719221696,0,4
zm6_7,10,10,0,0.3706391051174459,8.5,0.991059794018639,0,9
zm6_8,10,10,0,0.20196313811989525,2.692582403567252,0.9949981942239258,0,10
zm6_9,10,10,0,0.1325183197309573,1.118033988749895,0.9965794955589174,0,8
zm7_1,10,10,0,0.21608975913573777,3.640054944640259,0.9940341783497331,0,10
zm7_10,10,10,0,0.07312736518160798,1.8027756377319946,0.9978514516079217,0,6
zm7_11,10,10,0,0.17982654672837295,2.0,0.9950851170482875,0,8
zm7_12,10,10,0,0.1944146147502117,5.522680508593631,0.9941566945765864,0,9
zm7_2,6,6,0,0.05740127404429343,1.5811388300841898,0.9982403270082499,0,1
zm7_3,8,8,0,0.05424069563735987,1.0,0.9983145654707598,0,4
zm7_4,10,10,0,0.1829260980702328,3.1622776601683795,0.9946370601801742,0,9
zm7_5,10,10,0,0.056396860754986934,3.1622776601683795,0.998308999910927,0,3
zm7_6,10,10,0,0.15454652301118185,2.0615528128088303,0.9953834722140215,0,10
zm7_7,10,10,0,0.13476161962125172,1.118033988749895,0.9959799641059142,0,8
zm7_8,10,10,0,0.13797483762782883,10.0,0.9959184892974152,0,9
zm7_9,10,10,0,0.14402643069765325,15.239750654128171,0.9960424624066156,0,9
