group,track_id,total_frames,mean_match_cost,max_match_cost,mean_center_distance,max_center_distance,mean_iou,min_iou,suspicious,suspicion_reason
zm1_9,8,97,0.002707299457044366,0.0166042518135102,0.0003889638475889526,0.0022663678884184,0.9929872201253955,0.956768249468462,False,
zm1_9,9,97,0.0037606275559824765,0.0314905303030303,0.0003812182381899887,0.0040064102564102,0.9899633265681173,0.9115151515151516,False,
zm1_9,10,97,0.0016315831055715773,0.0111156108123424,0.00023330227900407834,0.0011331839442092,0.9957716096450887,0.9703455964325528,False,
zm2_1,1,97,0.0028066938708640977,0.0130081815114709,0.0003913742697696031,0.0017917211358171,0.9927077125842461,0.9643218623481782,False,
zm2_1,2,97,0.004102765962957231,0.0164066726565194,0.0005907675853982102,0.0017917211358171,0.9893749513358617,0.9552282768777616,False,
zm2_1,3,97,0.0011452695097916494,0.0108847177118841,0.00015553485266938557,0.0011331839442092,0.9970166518412671,0.971005291005291,False,
zm2_1,4,97,0.00448665490997219,0.0151338909923074,0.0007377081646062597,0.0017917211358171,0.9885510154200624,0.9588647959183674,False,
zm2_1,5,97,0.0043899589247893165,0.0174358042160727,0.0005912279350710938,0.0022663678884184,0.9885552549514482,0.9522879009933236,False,
zm2_1,6,97,0.0032579552161627573,0.0194471945109674,0.00041481169415145876,0.0028890635220064,0.9914619211001019,0.9498019907952476,False,
zm2_1,7,97,0.0023187961587045175,0.0240601053639846,0.00040195486842549584,0.0040064102564102,0.9941213557307773,0.9386973180076628,False,
zm2_1,8,97,0.001719876375288864,0.0512628366831079,0.0002462517320571072,0.0062582128813354,0.9955433921444236,0.8651571476850287,False,
zm2_1,9,97,0.0015084416342382506,0.0354402464512112,0.0002458268780886402,0.0058334213856414,0.9961467023900553,0.9095756498555876,False,
zm2_1,10,97,0.0005999283108168764,0.0063541666666666,9.086703674331959e-05,0.000801282051282,0.9984546721801894,0.9833333333333332,False,
zm2_10,1,97,0.0022402812905210146,0.0151449592074592,0.0003344343227451464,0.0011331839442092,0.9942202886264666,0.9582167832167832,False,
zm2_10,2,97,0.0022542049508867813,0.0118287655971479,0.00031903287972796595,0.0017917211358171,0.9941519040598182,0.9676916221033868,False,
zm2_10,3,97,0.0026266427737421773,0.0121841089931537,0.0003315454245482237,0.0017917211358171,0.9931110335777548,0.9667567567567568,False,
zm2_10,4,97,0.00760001663207546,0.416393483249906,0.0015270392380812537,0.1021438203844708,0.9811215967790782,0.0,True,"high_match_cost, low_iou"
