group,track_id,longest_pg_el_run,pg_el_count,total_frames,event_rule_prediction,germination_target,final_label
pg2_12,7,70,70,97,GERMINATED,1,GERMINATED
pg2_12,8,75,75,97,GERMINATED,1,GERMINATED
pg2_12,9,67,67,97,GERMINATED,1,GERMINATED
pg2_2,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_2,1,54,56,97,GERMINATED,1,GERMINATED
pg2_2,2,69,69,97,GERMINATED,1,GERMINATED
pg2_2,3,74,74,97,GERMINATED,1,GERMINATED
pg2_2,4,79,79,97,GERMINATED,1,GERMINATED
pg2_2,5,79,79,97,GERMINATED,1,GERMINATED
pg2_2,6,70,70,97,GERMINATED,1,GERMINATED
pg2_2,7,61,61,97,GERMINATED,1,GERMINATED
pg2_2,8,62,62,97,GERMINATED,1,GERMINATED
pg2_2,9,81,81,97,GERMINATED,1,GERMINATED
pg2_3,0,60,60,97,GERMINATED,1,GERMINATED
pg2_3,1,59,59,97,GERMINATED,1,GERMINATED
pg2_3,2,70,70,97,GERMINATED,1,GERMINATED
pg2_3,3,70,70,97,GERMINATED,1,GERMINATED
pg2_3,4,79,79,97,GERMINATED,1,GERMINATED
pg2_3,5,65,65,97,GERMINATED,1,GERMINATED
pg2_3,6,41,41,97,GERMINATED,1,GERMINATED
pg2_3,7,39,39,97,GERMINATED,1,GERMINATED
pg2_3,8,79,79,97,GERMINATED,1,GERMINATED
pg2_3,9,68,68,97,GERMINATED,1,GERMINATED
pg2_4,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_4,1,78,78,97,GERMINATED,1,GERMINATED
pg2_4,2,33,33,97,GERMINATED,1,GERMINATED
pg2_4,3,65,65,97,GERMINATED,1,GERMINATED
pg2_4,4,50,50,97,GERMINATED,1,GERMINATED
pg2_4,5,69,69,97,GERMINATED,1,GERMINATED
pg2_4,6,75,76,97,GERMINATED,1,GERMINATED
pg2_4,7,83,83,97,GERMINATED,1,GERMINATED
pg2_4,8,60,60,97,GERMINATED,1,GERMINATED
pg2_4,9,83,83,97,GERMINATED,1,GERMINATED
pg2_5,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_5,1,64,64,97,GERMINATED,1,GERMINATED
pg2_5,2,72,72,97,GERMINATED,1,GERMINATED
pg2_5,3,69,69,97,GERMINATED,1,GERMINATED
pg2_5,4,73,73,97,GERMINATED,1,GERMINATED
pg2_5,5,61,61,97,GERMINATED,1,GERMINATED
pg2_5,6,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_5,7,67,67,97,GERMINATED,1,GERMINATED
pg2_5,8,74,74,97,GERMINATED,1,GERMINATED
pg2_5,9,77,77,97,GERMINATED,1,GERMINATED
pg2_6,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_6,1,73,73,97,GERMINATED,1,GERMINATED
pg2_6,2,69,69,97,GERMINATED,1,GERMINATED
pg2_6,3,57,57,97,GERMINATED,1,GERMINATED
pg2_6,4,17,17,97,GERMINATED,1,GERMINATED
pg2_6,5,66,66,97,GERMINATED,1,GERMINATED
pg2_6,6,69,70,97,GERMINATED,1,GERMINATED
pg2_6,7,64,64,97,GERMINATED,1,GERMINATED
pg2_6,8,48,48,97,GERMINATED,1,GERMINATED
pg2_6,9,76,76,97,GERMINATED,1,GERMINATED
pg2_7,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_7,1,16,17,97,GERMINATED,1,GERMINATED
pg2_7,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_7,3,75,75,97,GERMINATED,1,GERMINATED
pg2_7,4,84,84,97,GERMINATED,1,GERMINATED
pg2_7,5,66,66,97,GERMINATED,1,GERMINATED
pg2_7,6,70,70,97,GERMINATED,1,GERMINATED
pg2_7,7,70,70,97,GERMINATED,1,GERMINATED
pg2_7,8,70,70,97,GERMINATED,1,GERMINATED
pg2_7,9,80,80,97,GERMINATED,1,GERMINATED
pg2_8,0,82,82,97,GERMINATED,1,GERMINATED
pg2_8,1,67,67,97,GERMINATED,1,GERMINATED
pg2_8,2,61,61,97,GERMINATED,1,GERMINATED
pg2_8,3,74,74,97,GERMINATED,1,GERMINATED
pg2_8,4,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_8,5,78,79,97,GERMINATED,1,GERMINATED
pg2_8,6,80,81,97,GERMINATED,1,GERMINATED
pg2_8,7,58,58,97,GERMINATED,1,GERMINATED
pg2_8,8,84,84,97,GERMINATED,1,GERMINATED
pg2_8,9,64,64,97,GERMINATED,1,GERMINATED
pg2_9,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_9,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_9,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_9,3,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_9,4,46,46,97,GERMINATED,1,GERMINATED
pg2_9,5,58,59,97,GERMINATED,1,GERMINATED
pg2_9,6,66,67,97,GERMINATED,1,GERMINATED
pg2_9,7,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_9,8,81,81,97,GERMINATED,1,GERMINATED
pg2_9,9,77,77,97,GERMINATED,1,GERMINATED
pg3_1,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_1,1,61,62,97,GERMINATED,1,GERMINATED
pg3_1,2,78,78,97,GERMINATED,1,GERMINATED
pg3_1,3,64,64,97,GERMINATED,1,GERMINATED
pg3_1,4,83,83,97,GERMINATED,1,GERMINATED
pg3_1,5,73,73,97,GERMINATED,1,GERMINATED
pg3_1,6,78,78,97,GERMINATED,1,GERMINATED
pg3_1,7,78,78,97,GERMINATED,1,GERMINATED
pg3_1,8,81,81,97,GERMINATED,1,GERMINATED
pg3_1,9,62,62,97,GERMINATED,1,GERMINATED
pg3_10,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_10,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_10,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_10,3,81,81,97,GERMINATED,1,GERMINATED
pg3_10,4,81,81,97,GERMINATED,1,GERMINATED
pg3_10,5,84,84,97,GERMINATED,1,GERMINATED
pg3_10,6,42,42,97,GERMINATED,1,GERMINATED
pg3_10,7,80,80,97,GERMINATED,1,GERMINATED
pg3_10,8,82,82,97,GERMINATED,1,GERMINATED
pg3_10,9,80,80,97,GERMINATED,1,GERMINATED
pg3_11,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_11,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_11,2,75,75,97,GERMINATED,1,GERMINATED
pg3_11,3,60,60,97,GERMINATED,1,GERMINATED
pg3_11,4,71,71,97,GERMINATED,1,GERMINATED
pg3_11,5,81,81,97,GERMINATED,1,GERMINATED
pg3_11,6,78,78,97,GERMINATED,1,GERMINATED
pg3_11,7,80,80,97,GERMINATED,1,GERMINATED
pg3_11,8,87,87,97,GERMINATED,1,GERMINATED
pg3_11,9,77,77,97,GERMINATED,1,GERMINATED
pg3_12,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_12,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_12,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_12,3,74,74,97,GERMINATED,1,GERMINATED
pg3_12,4,80,80,97,GERMINATED,1,GERMINATED
pg3_12,5,67,67,97,GERMINATED,1,GERMINATED
pg3_12,6,83,83,97,GERMINATED,1,GERMINATED
pg3_12,7,82,82,97,GERMINATED,1,GERMINATED
pg3_12,8,83,83,97,GERMINATED,1,GERMINATED
pg3_12,9,76,76,97,GERMINATED,1,GERMINATED
pg3_2,0,67,67,97,GERMINATED,1,GERMINATED
pg3_2,1,15,15,97,GERMINATED,1,GERMINATED
pg3_2,2,37,37,97,GERMINATED,1,GERMINATED
pg3_2,3,65,66,97,GERMINATED,1,GERMINATED
pg3_2,4,81,81,97,GERMINATED,1,GERMINATED
pg3_2,5,77,77,97,GERMINATED,1,GERMINATED
pg3_2,6,72,72,97,GERMINATED,1,GERMINATED
pg3_2,7,61,61,97,GERMINATED,1,GERMINATED
pg3_2,8,71,71,97,GERMINATED,1,GERMINATED
pg3_2,9,86,86,97,GERMINATED,1,GERMINATED
pg3_3,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_3,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_3,2,65,65,97,GERMINATED,1,GERMINATED
pg3_3,3,77,77,97,GERMINATED,1,GERMINATED
pg3_3,4,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_3,5,34,34,97,GERMINATED,1,GERMINATED
pg3_3,6,61,61,97,GERMINATED,1,GERMINATED
pg3_3,7,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_3,8,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_3,9,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_4,0,78,78,97,GERMINATED,1,GERMINATED
pg3_4,1,85,85,97,GERMINATED,1,GERMINATED
pg3_4,2,72,72,97,GERMINATED,1,GERMINATED
pg3_4,3,65,65,97,GERMINATED,1,GERMINATED
pg3_4,4,82,82,97,GERMINATED,1,GERMINATED
pg3_4,5,74,74,97,GERMINATED,1,GERMINATED
pg3_4,6,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_4,7,68,68,97,GERMINATED,1,GERMINATED
pg3_4,8,71,71,97,GERMINATED,1,GERMINATED
pg3_4,9,62,62,97,GERMINATED,1,GERMINATED
pg3_5,0,62,62,97,GERMINATED,1,GERMINATED
pg3_5,1,81,81,97,GERMINATED,1,GERMINATED
pg3_5,2,72,72,97,GERMINATED,1,GERMINATED
pg3_5,3,80,80,97,GERMINATED,1,GERMINATED
pg3_5,4,66,66,97,GERMINATED,1,GERMINATED
pg3_5,5,68,68,97,GERMINATED,1,GERMINATED
pg3_5,6,67,67,97,GERMINATED,1,GERMINATED
pg3_5,7,86,86,97,GERMINATED,1,GERMINATED
pg3_5,8,82,82,97,GERMINATED,1,GERMINATED
pg3_5,9,85,85,97,GERMINATED,1,GERMINATED
pg3_7,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_7,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_7,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_7,3,84,84,97,GERMINATED,1,GERMINATED
pg3_7,4,63,63,97,GERMINATED,1,GERMINATED
pg3_7,5,70,70,97,GERMINATED,1,GERMINATED
pg3_7,6,90,90,97,GERMINATED,1,GERMINATED
pg3_7,7,74,80,97,GERMINATED,1,GERMINATED
pg3_7,8,82,82,97,GERMINATED,1,GERMINATED
pg3_7,9,84,84,97,GERMINATED,1,GERMINATED
pg3_8,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_8,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_8,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_8,3,75,75,97,GERMINATED,1,GERMINATED
pg3_8,4,63,63,97,GERMINATED,1,GERMINATED
pg3_8,5,89,89,97,GERMINATED,1,GERMINATED
pg3_8,6,84,84,97,GERMINATED,1,GERMINATED
pg3_8,7,77,77,97,GERMINATED,1,GERMINATED
pg3_8,8,86,86,97,GERMINATED,1,GERMINATED
pg3_8,9,84,84,97,GERMINATED,1,GERMINATED
pg3_9,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_9,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg3_9,2,52,53,97,GERMINATED,1,GERMINATED
pg3_9,3,80,80,97,GERMINATED,1,GERMINATED
pg3_9,4,88,88,97,GERMINATED,1,GERMINATED
pg3_9,5,68,68,97,GERMINATED,1,GERMINATED
pg3_9,6,81,81,97,GERMINATED,1,GERMINATED
pg3_9,7,69,69,97,GERMINATED,1,GERMINATED
pg3_9,8,73,73,97,GERMINATED,1,GERMINATED
pg3_9,9,68,68,97,GERMINATED,1,GERMINATED
pg4_1,0,95,95,97,GERMINATED,1,GERMINATED
pg4_1,1,72,72,97,GERMINATED,1,GERMINATED
pg4_1,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg4_1,3,95,95,97,GERMINATED,1,GERMINATED
pg4_1,4,84,84,97,GERMINATED,1,GERMINATED
pg4_1,5,50,50,97,GERMINATED,1,GERMINATED
pg4_1,6,62,63,97,GERMINATED,1,GERMINATED
pg4_1,7,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg4_1,8,60,60,97,GERMINATED,1,GERMINATED
pg4_1,9,73,73,97,GERMINATED,1,GERMINATED
pg4_10,0,65,65,97,GERMINATED,1,GERMINATED
pg4_10,1,58,59,97,GERMINATED,1,GERMINATED
pg4_10,2,48,48,97,GERMINATED,1,GERMINATED
pg4_10,3,70,71,97,GERMINATED,1,GERMINATED
pg4_10,4,63,63,97,GERMINATED,1,GERMINATED
pg4_10,5,57,57,97,GERMINATED,1,GERMINATED
pg4_10,6,66,66,97,GERMINATED,1,GERMINATED
pg4_10,7,78,78,97,GERMINATED,1,GERMINATED
pg4_10,8,67,67,97,GERMINATED,1,GERMINATED
pg4_10,9,76,76,97,GERMINATED,1,GERMINATED
pg4_10,10,69,69,97,GERMINATED,1,GERMINATED
pg4_11,0,69,69,97,GERMINATED,1,GERMINATED
pg4_11,1,53,53,97,GERMINATED,1,GERMINATED
pg4_11,2,16,16,97,GERMINATED,1,GERMINATED
pg4_11,3,72,72,97,GERMINATED,1,GERMINATED
pg4_11,4,77,77,97,GERMINATED,1,GERMINATED
pg4_11,5,83,84,97,GERMINATED,1,GERMINATED
pg4_11,6,67,67,97,GERMINATED,1,GERMINATED
pg4_11,7,71,72,97,GERMINATED,1,GERMINATED
pg4_11,8,65,65,97,GERMINATED,1,GERMINATED
pg4_11,9,70,70,97,GERMINATED,1,GERMINATED
pg4_12,0,32,32,97,GERMINATED,1,GERMINATED
pg4_12,1,29,29,97,GERMINATED,1,GERMINATED
pg4_12,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg4_12,3,55,55,97,GERMINATED,1,GERMINATED
pg4_12,4,53,53,97,GERMINATED,1,GERMINATED
pg4_12,5,70,70,97,GERMINATED,1,GERMINATED
pg4_12,6,80,80,97,GERMINATED,1,GERMINATED
pg4_12,7,51,51,97,GERMINATED,1,GERMINATED
pg4_12,8,77,77,97,GERMINATED,1,GERMINATED
pg4_12,9,85,86,97,GERMINATED,1,GERMINATED
pg4_2,0,68,68,97,GERMINATED,1,GERMINATED
pg4_2,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg4_2,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg4_2,3,75,75,97,GERMINATED,1,GERMINATED
