feature_set,model,threshold,accuracy,precision,recall,f1
REDUCED_16_FEATURES,Logistic Regression,0.475,0.9090909090909091,0.9318181818181818,0.9534883720930233,0.9425287356321839
REDUCED_16_FEATURES,Logistic Regression,0.5,0.9030303030303031,0.937984496124031,0.937984496124031,0.937984496124031
REDUCED_16_FEATURES,Logistic Regression,0.525,0.896969696969697,0.9375,0.9302325581395349,0.933852140077821
REDUCED_16_FEATURES,Logistic Regression,0.55,0.8848484848484849,0.9365079365079365,0.9147286821705426,0.9254901960784314
REDUCED_16_FEATURES,Logistic Regression,0.575,0.8848484848484849,0.9435483870967742,0.9069767441860465,0.924901185770751
REDUCED_16_FEATURES,Logistic Regression,0.6,0.8606060606060606,0.9491525423728814,0.8682170542635659,0.9068825910931174
REDUCED_16_FEATURES,Logistic Regression,0.625,0.8545454545454545,0.9646017699115044,0.8449612403100775,0.9008264462809917
REDUCED_16_FEATURES,Logistic Regression,0.65,0.8545454545454545,0.972972972972973,0.8372093023255814,0.9
REDUCED_16_FEATURES,Logistic Regression,0.675,0.8484848484848485,0.9814814814814815,0.8217054263565892,0.8945147679324894
REDUCED_16_FEATURES,Logistic Regression,0.7,0.8484848484848485,0.9814814814814815,0.8217054263565892,0.8945147679324894
REDUCED_16_FEATURES,Random Forest,0.3,0.8242424242424242,0.8205128205128205,0.9922480620155039,0.8982456140350877
REDUCED_16_FEATURES,Random Forest,0.325,0.8242424242424242,0.8205128205128205,0.9922480620155039,0.8982456140350877
REDUCED_16_FEATURES,Random Forest,0.35,0.8484848484848485,0.8466666666666667,0.9844961240310077,0.910394265232975
REDUCED_16_FEATURES,Random Forest,0.375,0.8606060606060606,0.863013698630137,0.9767441860465116,0.9163636363636364
REDUCED_16_FEATURES,Random Forest,0.4,0.8484848484848485,0.8611111111111112,0.9612403100775194,0.9084249084249084
REDUCED_16_FEATURES,Random Forest,0.425,0.8666666666666667,0.8848920863309353,0.9534883720930233,0.917910447761194
REDUCED_16_FEATURES,Random Forest,0.45,0.8606060606060606,0.8897058823529411,0.937984496124031,0.9132075471698113
REDUCED_16_FEATURES,Random Forest,0.475,0.8666666666666667,0.8962962962962963,0.937984496124031,0.9166666666666666
REDUCED_16_FEATURES,Random Forest,0.5,0.8606060606060606,0.9076923076923077,0.9147286821705426,0.9111969111969112
REDUCED_16_FEATURES,Random Forest,0.525,0.8545454545454545,0.9069767441860465,0.9069767441860465,0.9069767441860465
REDUCED_16_FEATURES,Random Forest,0.55,0.8606060606060606,0.9140625,0.9069767441860465,0.9105058365758755
REDUCED_16_FEATURES,Random Forest,0.575,0.8606060606060606,0.9274193548387096,0.8914728682170543,0.9090909090909091
REDUCED_16_FEATURES,Random Forest,0.6,0.8666666666666667,0.9349593495934959,0.8914728682170543,0.9126984126984127
REDUCED_16_FEATURES,Random Forest,0.625,0.8545454545454545,0.9338842975206612,0.875968992248062,0.904
REDUCED_16_FEATURES,Random Forest,0.65,0.8606060606060606,0.9416666666666667,0.875968992248062,0.9076305220883534
REDUCED_16_FEATURES,Random Forest,0.675,0.8484848484848485,0.940677966101695,0.8604651162790697,0.8987854251012146
REDUCED_16_FEATURES,Random Forest,0.7,0.8484848484848485,0.9482758620689655,0.8527131782945736,0.8979591836734694
REDUCED_16_FEATURES,Gradient Boosting,0.3,0.8727272727272727,0.8802816901408451,0.9689922480620154,0.922509225092251
REDUCED_16_FEATURES,Gradient Boosting,0.325,0.8848484848484849,0.8928571428571429,0.9689922480620154,0.929368029739777
REDUCED_16_FEATURES,Gradient Boosting,0.35,0.8909090909090909,0.8992805755395683,0.9689922480620154,0.9328358208955224
REDUCED_16_FEATURES,Gradient Boosting,0.375,0.9030303030303031,0.9124087591240876,0.9689922480620154,0.9398496240601504
REDUCED_16_FEATURES,Gradient Boosting,0.4,0.9090909090909091,0.9191176470588235,0.9689922480620154,0.9433962264150944
REDUCED_16_FEATURES,Gradient Boosting,0.425,0.9151515151515152,0.9259259259259259,0.9689922480620154,0.946969696969697
REDUCED_16_FEATURES,Gradient Boosting,0.45,0.9151515151515152,0.9323308270676691,0.9612403100775194,0.9465648854961832
REDUCED_16_FEATURES,Gradient Boosting,0.475,0.9151515151515152,0.9389312977099237,0.9534883720930233,0.9461538461538461
REDUCED_16_FEATURES,Gradient Boosting,0.5,0.9151515151515152,0.9389312977099237,0.9534883720930233,0.9461538461538461
REDUCED_16_FEATURES,Gradient Boosting,0.525,0.9151515151515152,0.9389312977099237,0.9534883720930233,0.9461538461538461
REDUCED_16_FEATURES,Gradient Boosting,0.55,0.9090909090909091,0.9384615384615385,0.9457364341085271,0.9420849420849421
REDUCED_16_FEATURES,Gradient Boosting,0.575,0.8909090909090909,0.937007874015748,0.9224806201550387,0.9296875
