group,frame,pg_el,pg_im
pg1_2,20,2,8
pg1_2,21,3,7
pg1_2,22,3,7
pg1_2,23,3,7
pg1_2,24,4,6
pg1_2,25,5,5
pg1_2,26,5,5
pg1_2,27,5,5
pg1_2,28,5,5
pg1_2,29,5,5
pg1_2,30,5,5
pg1_2,31,5,5
pg1_2,32,5,5
pg1_2,33,5,5
pg1_2,34,5,5
pg1_2,35,6,4
pg1_2,36,6,4
pg1_2,37,6,4
pg1_2,38,6,4
pg1_2,39,6,4
pg1_2,40,6,4
pg1_2,41,6,4
pg1_2,42,6,4
pg1_2,43,6,4
pg1_2,44,6,4
pg1_2,45,7,3
pg1_2,46,7,3
pg1_2,47,7,3
pg1_2,48,7,3
pg1_2,49,7,3
pg1_2,50,7,3
pg1_2,51,7,3
pg1_2,52,7,3
pg1_2,53,8,2
pg1_2,54,9,1
pg1_2,55,9,1
pg1_2,56,9,1
pg1_2,57,9,1
pg1_2,58,9,1
pg1_2,59,9,1
pg1_2,60,9,1
pg1_2,61,9,1
pg1_2,62,9,1
pg1_2,63,9,1
pg1_2,64,9,1
pg1_2,65,9,1
pg1_2,66,9,1
pg1_2,67,9,1
pg1_2,68,9,1
pg1_2,69,10,0
pg1_2,70,10,0
pg1_2,71,10,0
pg1_2,72,10,0
pg1_2,73,10,0
pg1_2,74,10,0
pg1_2,75,10,0
pg1_2,76,10,0
pg1_2,77,10,0
pg1_2,78,10,0
pg1_2,79,10,0
pg1_2,80,10,0
pg1_2,81,10,0
pg1_2,82,10,0
pg1_2,83,10,0
pg1_2,84,10,0
pg1_2,85,10,0
pg1_2,86,10,0
pg1_2,87,10,0
pg1_2,88,10,0
pg1_2,89,10,0
pg1_2,90,10,0
pg1_2,91,10,0
pg1_2,92,10,0
pg1_2,93,10,0
pg1_2,94,10,0
pg1_2,95,10,0
pg1_2,96,10,0
pg1_2,97,10,0
pg1_3,1,0,10
pg1_3,2,0,10
pg1_3,3,0,10
pg1_3,4,0,10
pg1_3,5,0,10
pg1_3,6,0,10
pg1_3,7,0,10
pg1_3,8,0,10
pg1_3,9,0,10
pg1_3,10,0,10
pg1_3,11,0,10
pg1_3,12,1,9
pg1_3,13,1,9
pg1_3,14,1,9
pg1_3,15,1,9
pg1_3,16,1,9
pg1_3,17,1,9
pg1_3,18,2,8
pg1_3,19,2,8
pg1_3,20,2,8
pg1_3,21,3,7
pg1_3,22,3,7
pg1_3,23,3,7
pg1_3,24,3,7
pg1_3,25,3,7
pg1_3,26,3,7
pg1_3,27,4,6
pg1_3,28,4,6
pg1_3,29,5,5
pg1_3,30,5,5
pg1_3,31,6,4
pg1_3,32,6,4
pg1_3,33,6,4
pg1_3,34,7,3
pg1_3,35,7,3
pg1_3,36,7,3
pg1_3,37,7,3
pg1_3,38,7,3
pg1_3,39,7,3
pg1_3,40,7,3
pg1_3,41,7,3
pg1_3,42,7,3
pg1_3,43,7,3
pg1_3,44,7,3
pg1_3,45,7,3
pg1_3,46,7,3
pg1_3,47,7,3
pg1_3,48,7,3
pg1_3,49,7,3
pg1_3,50,7,3
pg1_3,51,7,3
pg1_3,52,7,3
pg1_3,53,7,3
pg1_3,54,7,3
pg1_3,55,7,3
pg1_3,56,7,3
pg1_3,57,7,3
pg1_3,58,7,3
pg1_3,59,7,3
pg1_3,60,7,3
pg1_3,61,7,3
pg1_3,62,7,3
pg1_3,63,7,3
pg1_3,64,7,3
pg1_3,65,7,3
pg1_3,66,7,3
pg1_3,67,7,3
pg1_3,68,7,3
pg1_3,69,7,3
pg1_3,70,7,3
pg1_3,71,7,3
pg1_3,72,7,3
pg1_3,73,7,3
pg1_3,74,7,3
pg1_3,75,7,3
pg1_3,76,7,3
pg1_3,77,7,3
pg1_3,78,7,3
pg1_3,79,7,3
pg1_3,80,7,3
pg1_3,81,7,3
pg1_3,82,7,3
pg1_3,83,7,3
pg1_3,84,7,3
pg1_3,85,7,3
pg1_3,86,7,3
pg1_3,87,7,3
pg1_3,88,7,3
pg1_3,89,7,3
pg1_3,90,7,3
pg1_3,91,7,3
pg1_3,92,7,3
pg1_3,93,7,3
pg1_3,94,7,3
pg1_3,95,7,3
pg1_3,96,7,3
pg1_3,97,7,3
pg1_4,1,0,10
pg1_4,2,0,10
pg1_4,3,0,10
pg1_4,4,0,10
pg1_4,5,0,10
pg1_4,6,0,10
pg1_4,7,0,10
pg1_4,8,0,10
pg1_4,9,0,10
pg1_4,10,0,10
pg1_4,11,0,10
pg1_4,12,0,10
pg1_4,13,0,10
pg1_4,14,0,10
pg1_4,15,0,10
pg1_4,16,0,10
pg1_4,17,0,10
pg1_4,18,0,10
pg1_4,19,0,10
pg1_4,20,0,10
pg1_4,21,0,10
pg1_4,22,0,10
pg1_4,23,0,10
pg1_4,24,0,10
pg1_4,25,0,10
pg1_4,26,1,9
pg1_4,27,1,9
pg1_4,28,2,8
pg1_4,29,3,7
pg1_4,30,3,7
pg1_4,31,4,6
pg1_4,32,4,6
pg1_4,33,4,6
pg1_4,34,4,6
pg1_4,35,5,5
pg1_4,36,5,5
pg1_4,37,6,4
pg1_4,38,7,3
pg1_4,39,7,3
pg1_4,40,7,3
pg1_4,41,7,3
pg1_4,42,7,3
pg1_4,43,7,3
pg1_4,44,7,3
pg1_4,45,7,3
pg1_4,46,7,3
pg1_4,47,7,3
pg1_4,48,7,3
pg1_4,49,7,3
pg1_4,50,7,3
pg1_4,51,7,3
pg1_4,52,7,3
pg1_4,53,7,3
pg1_4,54,7,3
pg1_4,55,7,3
pg1_4,56,7,3
pg1_4,57,7,3
pg1_4,58,7,3
pg1_4,59,7,3
pg1_4,60,7,3
pg1_4,61,7,3
pg1_4,62,7,3
pg1_4,63,7,3
pg1_4,64,7,3
pg1_4,65,7,3
pg1_4,66,7,3
pg1_4,67,7,3
pg1_4,68,7,3
pg1_4,69,7,3
pg1_4,70,7,3
pg1_4,71,7,3
pg1_4,72,7,3
pg1_4,73,7,3
pg1_4,74,7,3
pg1_4,75,7,3
pg1_4,76,7,3
pg1_4,77,7,3
pg1_4,78,7,3
pg1_4,79,7,3
pg1_4,80,7,3
pg1_4,81,7,3
pg1_4,82,7,3
pg1_4,83,7,3
pg1_4,84,7,3
pg1_4,85,8,2
pg1_4,86,8,2
pg1_4,87,8,2
pg1_4,88,8,2
pg1_4,89,8,2
pg1_4,90,8,2
pg1_4,91,8,2
pg1_4,92,8,2
pg1_4,93,8,2
pg1_4,94,8,2
pg1_4,95,8,2
pg1_4,96,8,2
pg1_4,97,8,2
pg1_5,1,0,10
pg1_5,2,0,10
pg1_5,3,0,10
pg1_5,4,0,10
pg1_5,5,0,10
pg1_5,6,0,10
pg1_5,7,0,10
pg1_5,8,0,10
pg1_5,9,0,10
pg1_5,10,0,10
pg1_5,11,0,10
pg1_5,12,0,10
pg1_5,13,0,10
pg1_5,14,0,10
pg1_5,15,0,10
pg1_5,16,0,10
pg1_5,17,0,10
pg1_5,18,0,10
pg1_5,19,0,10
pg1_5,20,0,10
pg1_5,21,0,10
pg1_5,22,0,10
pg1_5,23,0,10
pg1_5,24,1,9
pg1_5,25,2,8
pg1_5,26,5,5
pg1_5,27,6,4
pg1_5,28,6,4
pg1_5,29,6,4
pg1_5,30,6,4
pg1_5,31,6,4
pg1_5,32,6,4
pg1_5,33,6,4
pg1_5,34,6,4
pg1_5,35,6,4
pg1_5,36,6,4
pg1_5,37,6,4
pg1_5,38,6,4
pg1_5,39,6,4
pg1_5,40,6,4
pg1_5,41,6,4
pg1_5,42,6,4
pg1_5,43,6,4
pg1_5,44,6,4
pg1_5,45,6,4
pg1_5,46,6,4
pg1_5,47,6,4
pg1_5,48,6,4
pg1_5,49,6,4
pg1_5,50,6,4
pg1_5,51,6,4
pg1_5,52,6,4
pg1_5,53,6,4
pg1_5,54,6,4
pg1_5,55,6,4
pg1_5,56,6,4
pg1_5,57,6,4
pg1_5,58,6,4
pg1_5,59,6,4
pg1_5,60,6,4
pg1_5,61,6,4
pg1_5,62,6,4
pg1_5,63,6,4
pg1_5,64,6,4
pg1_5,65,6,4
pg1_5,66,6,4
pg1_5,67,6,4
pg1_5,68,6,4
pg1_5,69,6,4
pg1_5,70,6,4
pg1_5,71,6,4
pg1_5,72,6,4
pg1_5,73,6,4
pg1_5,74,6,4
pg1_5,75,6,4
pg1_5,76,6,4
pg1_5,77,6,4
pg1_5,78,6,4
pg1_5,79,6,4
pg1_5,80,6,4
pg1_5,81,6,4
pg1_5,82,6,4
pg1_5,83,6,4
pg1_5,84,6,4
pg1_5,85,6,4
pg1_5,86,6,4
pg1_5,87,6,4
pg1_5,88,6,4
pg1_5,89,6,4
pg1_5,90,6,4
pg1_5,91,6,4
pg1_5,92,6,4
pg1_5,93,6,4
pg1_5,94,6,4
pg1_5,95,6,4
pg1_5,96,6,4
pg1_5,97,6,4
pg1_6,1,0,10
pg1_6,2,0,10
pg1_6,3,0,10
pg1_6,4,0,10
pg1_6,5,0,10
pg1_6,6,0,10
pg1_6,7,0,10
pg1_6,8,0,10
pg1_6,9,0,10
pg1_6,10,0,10
pg1_6,11,2,8
pg1_6,12,2,8
pg1_6,13,4,6
pg1_6,14,5,5
pg1_6,15,6,4
pg1_6,16,6,4
pg1_6,17,6,4
pg1_6,18,6,4
pg1_6,19,6,4
pg1_6,20,6,4
pg1_6,21,6,4
pg1_6,22,6,4
pg1_6,23,6,4
pg1_6,24,6,4
pg1_6,25,6,4
pg1_6,26,6,4
pg1_6,27,6,4
pg1_6,28,6,4
pg1_6,29,6,4
pg1_6,30,6,4
pg1_6,31,7,3
pg1_6,32,7,3
pg1_6,33,7,3
pg1_6,34,7,3
pg1_6,35,7,3
pg1_6,36,7,3
pg1_6,37,7,3
pg1_6,38,7,3
pg1_6,39,7,3
pg1_6,40,7,3
pg1_6,41,7,3
pg1_6,42,7,3
pg1_6,43,7,3
pg1_6,44,7,3
pg1_6,45,7,3
pg1_6,46,7,3
pg1_6,47,7,3
pg1_6,48,7,3
pg1_6,49,7,3
pg1_6,50,7,3
pg1_6,51,7,3
pg1_6,52,7,3
pg1_6,53,7,3
