group,frame,pg_im_count,pg_el_count,total_objects
pg1_12,16,8,2,10
pg1_12,17,8,2,10
pg1_12,18,7,3,10
pg1_12,19,7,3,10
pg1_12,20,7,3,10
pg1_12,21,6,4,10
pg1_12,22,6,4,10
pg1_12,23,6,4,10
pg1_12,24,6,4,10
pg1_12,25,6,4,10
pg1_12,26,5,5,10
pg1_12,27,4,6,10
pg1_12,28,4,6,10
pg1_12,29,2,8,10
pg1_12,30,2,8,10
pg1_12,31,2,8,10
pg1_12,32,1,9,10
pg1_12,33,1,9,10
pg1_12,34,1,9,10
pg1_12,35,1,9,10
pg1_12,36,0,10,10
pg1_12,37,0,10,10
pg1_12,38,0,10,10
pg1_12,39,0,10,10
pg1_12,40,0,10,10
pg1_12,41,0,10,10
pg1_12,42,0,10,10
pg1_12,43,0,10,10
pg1_12,44,0,10,10
pg1_12,45,0,10,10
pg1_12,46,0,10,10
pg1_12,47,0,10,10
pg1_12,48,0,10,10
pg1_12,49,0,10,10
pg1_12,50,0,10,10
pg1_12,51,0,10,10
pg1_12,52,0,10,10
pg1_12,53,0,10,10
pg1_12,54,0,10,10
pg1_12,55,0,10,10
pg1_12,56,0,10,10
pg1_12,57,0,10,10
pg1_12,58,0,10,10
pg1_12,59,0,10,10
pg1_12,60,0,10,10
pg1_12,61,0,10,10
pg1_12,62,0,10,10
pg1_12,63,0,10,10
pg1_12,64,0,10,10
pg1_12,65,0,10,10
pg1_12,66,0,10,10
pg1_12,67,0,10,10
pg1_12,68,0,10,10
pg1_12,69,0,10,10
pg1_12,70,0,10,10
pg1_12,71,0,10,10
pg1_12,72,0,10,10
pg1_12,73,0,10,10
pg1_12,74,0,10,10
pg1_12,75,0,10,10
pg1_12,76,0,10,10
pg1_12,77,0,10,10
pg1_12,78,0,10,10
pg1_12,79,0,10,10
pg1_12,80,0,10,10
pg1_12,81,0,10,10
pg1_12,82,0,10,10
pg1_12,83,0,10,10
pg1_12,84,0,10,10
pg1_12,85,0,10,10
pg1_12,86,0,10,10
pg1_12,87,0,10,10
pg1_12,88,0,10,10
pg1_12,89,0,10,10
pg1_12,90,0,10,10
pg1_12,91,0,10,10
pg1_12,92,0,10,10
pg1_12,93,0,10,10
pg1_12,94,0,10,10
pg1_12,95,0,10,10
pg1_12,96,0,10,10
pg1_12,97,0,10,10
pg1_2,1,10,0,10
pg1_2,2,10,0,10
pg1_2,3,10,0,10
pg1_2,4,10,0,10
pg1_2,5,10,0,10
pg1_2,6,10,0,10
pg1_2,7,10,0,10
pg1_2,8,10,0,10
pg1_2,9,10,0,10
pg1_2,10,10,0,10
pg1_2,11,10,0,10
pg1_2,12,10,0,10
pg1_2,13,10,0,10
pg1_2,14,10,0,10
pg1_2,15,9,1,10
