seed_key,group,track_id,width_change_p15,mean_iou_p15,height_change_p15,area_change_p15,std_center_x_p15,std_center_y_p15,std_iou_p15,middle_mean_width_p15,movement_std_p15,median_movement_p15,middle_mean_height_p15,early_mean_area_p15,max_movement_p15,early_mean_width_p15,middle_mean_area_p15,width_change_reconstructed,mean_iou_reconstructed,height_change_reconstructed,area_change_reconstructed,std_center_x_reconstructed,std_center_y_reconstructed,std_iou_reconstructed,middle_mean_width_reconstructed,movement_std_reconstructed,median_movement_reconstructed,middle_mean_height_reconstructed,early_mean_area_reconstructed,max_movement_reconstructed,early_mean_width_reconstructed,middle_mean_area_reconstructed
pg6_7__2,pg6_7,2,40.0,0.9794322139901,27.0,3411.0,2.69244918276358,2.50270339538244,0.0295979092750688,42.375,0.4740595699297634,0.5,40.9375,1249.71875,3.8078865529319534,34.96875,1741.40625,40.0,0.9794322139900999,27.0,3411.0,2.6924491827635797,2.50270339538244,0.029597909275068814,42.375,0.4740595699297634,0.5,40.9375,1249.71875,3.8078865529319543,34.96875,1741.40625
pg6_7__3,pg6_7,3,15.0,0.9868106534445252,22.0,1706.0,1.7730460257947525,1.0452611839700268,0.0225787098075454,44.625,0.3784099649566054,0.0,44.59375,1459.78125,2.5,36.5,2001.125,15.0,0.9868106534445253,22.0,1706.0,1.7730460257947525,1.0452611839700268,0.02257870980754548,44.625,0.37840996495660545,0.0,44.59375,1459.78125,2.5,36.5,2001.125
pg6_7__4,pg6_7,4,92.0,0.9660388420486322,166.0,25610.0,18.076726507781032,26.16315097040455,0.0419308676243857,53.6875,1.0736290848375185,0.5,72.96875,1529.46875,3.2015621187164243,38.0625,4392.40625,92.0,0.9660388420486322,166.0,25610.0,18.076726507781032,26.16315097040455,0.04193086762438578,53.6875,1.0736290848375185,0.5,72.96875,1529.46875,3.2015621187164243,38.0625,4392.40625
pg6_7__5,pg6_7,5,34.0,0.9610969573090108,197.0,15136.0,3.122979738081575,23.93148588324324,0.0402362307529472,49.4375,0.8385423803776599,1.5,56.5,1243.9375,3.605551275463989,40.625,2856.84375,34.0,0.9610969573090108,197.0,15136.0,3.122979738081575,23.931485883243237,0.04023623075294727,49.4375,0.8385423803776599,1.5,56.5,1243.9375,3.605551275463989,40.625,2856.84375
pg6_7__6,pg6_7,6,137.0,0.9645352323869884,74.0,18134.0,9.970689854782012,14.18814784123106,0.032932613447968,58.84375,0.688540277675093,0.8535533905932737,49.5,1319.46875,2.549509756796392,33.0625,3079.78125,137.0,0.9645352323869885,74.0,18134.0,9.970689854782012,14.18814784123106,0.032932613447968,58.84375,0.688540277675093,0.8535533905932737,49.5,1319.46875,2.5495097567963922,33.0625,3079.78125
pg6_7__7,pg6_7,7,47.0,0.972994200931225,89.0,9680.0,1.989076343370348,11.137492299529306,0.0397688569708292,38.6875,0.926554387806855,0.0,45.09375,1496.5,4.0,34.59375,1758.40625,47.0,0.972994200931225,89.0,9680.0,1.9890763433703478,11.137492299529306,0.03976885697082928,38.6875,0.926554387806855,0.0,45.09375,1496.5,4.0,34.59375,1758.40625
pg6_7__8,pg6_7,8,97.0,0.9564313990602096,149.0,22436.0,16.30371221503395,15.53907167215442,0.0431487937236849,42.21875,0.8766603087304883,1.118033988749895,59.0625,1103.875,3.2015621187164243,36.125,2607.8125,97.0,0.9564313990602095,149.0,22436.0,16.30371221503395,15.53907167215442,0.04314879372368492,42.21875,0.8766603087304883,1.118033988749895,59.0625,1103.875,3.2015621187164243,36.125,2607.8125
pg6_7__9,pg6_7,9,12.0,0.990010703384257,9.0,870.0,0.7089830960627412,1.083283938691502,0.0341844538110467,47.25,0.43545977469858,0.0,36.0625,1333.96875,3.3541019662496847,42.59375,1705.28125,12.0,0.990010703384257,9.0,870.0,0.7089830960627412,1.0832839386915019,0.03418445381104678,47.25,0.43545977469858005,0.0,36.0625,1333.96875,3.3541019662496847,42.59375,1705.28125
pg6_8__0,pg6_8,0,0.0,0.997028097982709,0.0,0.0,0.3030296589010118,0.3030296589010118,0.0289665177754589,35.0,0.4307515235028193,0.0,34.0,1190.0,4.242640687119285,35.0,1190.0,0.0,0.997028097982709,0.0,0.0,0.30302965890101186,0.30302965890101186,0.028966517775458913,35.0,0.4307515235028193,0.0,34.0,1190.0,4.242640687119285,35.0,1190.0
pg6_8__1,pg6_8,1,7.0,0.9880144680213296,18.0,962.0,2.0976531633490203,1.830600997112184,0.0357739182071647,32.96875,0.5598950126797123,0.0,34.40625,1120.9375,3.905124837953327,34.0,1134.8125,7.0,0.9880144680213295,18.0,962.0,2.0976531633490203,1.830600997112184,0.035773918207164766,32.96875,0.5598950126797123,0.0,34.40625,1120.9375,3.905124837953327,34.0,1134.8125
