group,track_id,total_frames,mean_match_cost,max_match_cost,mean_movement,median_movement,max_movement,mean_center_x,mean_center_y,mean_width,mean_height,max_width,min_width,max_height,min_height,duration_hours,width_change,height_change,width_growth_ratio,height_growth_ratio,class_transition_count,movement_std,jumps_gt_010,jumps_gt_020,jumps_gt_030,rotation_0_count,rotation_90_count,rotation_180_count,rotation_270_count
zm1_12,10,72,0.0006551532671162833,0.0086419753086419,8.903133903133334e-05,0.0,0.000801282051282,0.29650774572649574,0.7623085826210826,0.13054220085470086,0.13136574074074073,0.13141025641025642,0.1282051282051282,0.1330128205128205,0.125,,0.0016025641025640969,0.008012820512820512,1.0123456790123457,1.064102564102564,0,0.0002518186542686973,0,0,0,,,,
zm1_2,1,72,0.00038636760213434443,0.0060763888888889,5.564458689458334e-05,0.0,0.000801282051282,0.46116007834757844,0.35117298789173784,0.10180733618233617,0.12778222934472933,0.10416666666666667,0.09935897435897435,0.1282051282051282,0.125,,0.004807692307692318,0.0032051282051281937,1.0483870967741937,1.0256410256410255,0,0.00020369263285392145,0,0,0,,,,
zm1_2,2,72,0.00048164431399923616,0.005126096491228,7.790242165241666e-05,0.0,0.000801282051282,0.2908097400284901,0.358974358974359,0.12649127492877493,0.11538461538461539,0.13141025641025642,0.1201923076923077,0.11538461538461539,0.11538461538461539,,0.01121794871794872,0.0,1.0933333333333333,1.0,1,0.00023738792075877135,0,0,0,,,,
zm1_2,3,72,0.00042653431051200836,0.0055208333333333,6.67735042735e-05,0.0,0.000801282051282,0.6192240918803419,0.3568264779202279,0.1390892094017094,0.11647524928774929,0.14102564102564102,0.13782051282051283,0.11698717948717949,0.11057692307692307,,0.0032051282051281937,0.006410256410256415,1.0232558139534882,1.0579710144927537,0,0.00022146265961239204,0,0,0,,,,
zm1_2,4,72,0.001172180530416446,0.0140402961894225,0.00017417069021403195,0.0,0.0017917211358171,0.7927350427350427,0.4489405270655272,0.11039886039886043,0.13933404558404558,0.11217948717948718,0.10737179487179487,0.14102564102564102,0.1346153846153846,,0.0032051282051282076,0.004807692307692318,1.0298507462686568,1.0357142857142858,0,0.0003729546940889369,0,0,0,,,,
zm1_2,5,72,0.0006497518534862417,0.0091194988713277,0.00010477000492312778,0.0,0.0011331839442092,0.25190304487179493,0.5191417378917379,0.13454861111111108,0.13568376068376067,0.1362179487179487,0.1282051282051282,0.13782051282051283,0.12980769230769232,,0.008012820512820512,0.008012820512820512,1.0625,1.0617283950617284,0,0.000279637736236854,0,0,0,,,,
zm1_2,6,72,0.0008959148287998709,0.0104808877455541,0.00012702783968096112,0.0,0.0011331839442092,0.5228142806267807,0.5898660078347577,0.10167378917378916,0.1464788105413105,0.10256410256410256,0.09455128205128205,0.14743589743589744,0.13942307692307693,,0.008012820512820512,0.008012820512820512,1.0847457627118644,1.0574712643678161,0,0.00030145107214456045,0,0,0,,,,
zm1_2,7,72,0.0009238207983767709,0.014837977392649,0.00012965502069836525,0.0,0.0017917211358171,0.8375289351851851,0.6473691239316239,0.11148949430199433,0.12678062678062677,0.11217948717948718,0.11057692307692307,0.1282051282051282,0.11698717948717949,,0.0,0.011217948717948706,1.0,1.095890410958904,0,0.0003419804114223591,0,0,0,,,,
zm1_2,8,72,0.0008236896187081334,0.0150088507625272,8.903133903133334e-05,0.0,0.000801282051282,0.6618255876068376,0.690460292022792,0.13655181623931623,0.11391559829059832,0.13782051282051283,0.1282051282051282,0.11538461538461539,0.10576923076923077,,0.009615384615384637,0.009615384615384623,1.0750000000000002,1.090909090909091,0,0.0002518186542686973,0,0,0,,,,
zm1_2,9,72,0.001014459297576046,0.0105011261261261,0.00016693376068375136,0.0,0.0016025641025641,0.3211805555555556,0.7306245548433049,0.1455662393162393,0.11567396723646725,0.14743589743589744,0.1346153846153846,0.11858974358974358,0.11217948717948718,,0.01282051282051283,0.0048076923076923045,1.0952380952380953,1.042857142857143,1,0.00035175126044511944,0,0,0,,,,
zm1_2,10,72,0.001121560879803461,0.0093785448723779,0.00018267242657554446,0.0,0.0011331839442092,0.513187767094017,0.7796808226495726,0.1349047364672364,0.13143251424501423,0.13942307692307693,0.1266025641025641,0.1346153846153846,0.1233974358974359,,0.01282051282051283,0.011217948717948706,1.1012658227848102,1.0909090909090908,0,0.00034384097232550753,0,0,0,,,,
zm1_3,1,72,0.001447063735046293,0.0092833860431367,0.0002049302613333778,0.0,0.0011331839442092,0.5197093126780626,0.277744391025641,0.1464788105413105,0.12462161680911682,0.15544871794871795,0.1346153846153846,0.1330128205128205,0.11698717948717949,,0.020833333333333343,0.016025641025641024,1.1547619047619049,1.136986301369863,1,0.00035697930074786417,0,0,0,,,,
zm1_3,2,72,0.0010060140257316763,0.0059054487179486,0.00015580484330483335,0.0,0.000801282051282,0.3019386574074074,0.3822226673789173,0.12849448005698005,0.10685986467236466,0.1346153846153846,0.11858974358974358,0.10897435897435898,0.10256410256410256,,0.016025641025641024,0.006410256410256415,1.135135135135135,1.0625,0,0.00031712533050156033,0,0,0,,,,
zm1_3,3,72,0.0009203309872028847,0.010016639800786,0.0001316375881938389,0.0,0.0011331839442092,0.7333845263532761,0.4214298433048433,0.1463897792022792,0.1064814814814815,0.14903846153846154,0.13942307692307693,0.11057692307692307,0.10096153846153846,,0.009615384615384609,0.008012820512820512,1.0689655172413792,1.078125,0,0.0003140028153879424,0,0,0,,,,
zm1_3,4,72,0.0008196169200581084,0.0047891260162601,0.00014467592592591668,0.0,0.000801282051282,0.5515268874643875,0.4227987001424501,0.14155982905982903,0.13392539173789172,0.14903846153846154,0.1330128205128205,0.1346153846153846,0.12980769230769232,,0.016025641025641024,0.004807692307692291,1.1204819277108433,1.037037037037037,1,0.0003082127498247274,0,0,0,,,,
zm1_3,5,72,0.0012250181422381167,0.0099958288229952,0.0001715435091966278,0.0,0.0011331839442092,0.6387998575498575,0.5495459401709402,0.1203258547008547,0.13719729344729342,0.1233974358974359,0.10897435897435898,0.14262820512820512,0.1282051282051282,,0.014423076923076927,0.014423076923076927,1.1323529411764706,1.1125,1,0.000336528234160714,0,0,0,,,,
zm1_3,6,72,0.0007533767910896445,0.0048958333333333,0.000133547008547,0.0,0.000801282051282,0.19238559472934474,0.5683204237891738,0.13054220085470084,0.14064725783475782,0.13141025641025642,0.1266025641025641,0.15064102564102563,0.1362179487179487,,0.004807692307692318,0.014423076923076927,1.0379746835443038,1.1058823529411765,0,0.0002986201893028375,0,0,0,,,,
zm1_3,7,72,0.0008751867369946417,0.0097863060591246,0.0001251184193278,0.0,0.0011331839442092,0.38242298789173795,0.6058471331908832,0.14345174501424499,0.10267539173789172,0.15224358974358973,0.13942307692307693,0.10576923076923077,0.10096153846153846,,0.012820512820512803,0.0048076923076923045,1.0919540229885056,1.0476190476190477,1,0.0003166569181969024,0,0,0,,,,
zm1_3,8,72,0.0011611328348757738,0.010630707762557,0.00016693376068375136,0.0,0.0016025641025641,0.5003004807692307,0.7009103454415954,0.11500623219373221,0.10427795584045582,0.11858974358974358,0.10737179487179487,0.10737179487179487,0.09935897435897435,,0.009615384615384623,0.008012820512820512,1.0895522388059702,1.0806451612903225,0,0.0003517512604451198,0,0,0,,,,
zm1_3,9,72,0.0007249204982452723,0.0161354512735326,7.790242165241666e-05,0.0,0.000801282051282,0.725471866096866,0.733952101139601,0.099002849002849,0.11062143874643876,0.09935897435897435,0.09455128205128205,0.11217948717948718,0.10576923076923077,,0.0048076923076923045,0.006410256410256415,1.0508474576271185,1.0606060606060606,0,0.00023738792075877178,0,0,0,,,,
zm1_3,10,72,0.0005976204795866417,0.005450410798122,0.00010016025641025,0.0,0.000801282051282,0.38117654914529914,0.8386529558404558,0.11491720085470088,0.1479255698005698,0.11858974358974358,0.11217948717948718,0.15064102564102563,0.14262820512820512,,0.006410256410256401,0.008012820512820512,1.0571428571428572,1.0561797752808988,0,0.0002649991297139847,0,0,0,,,,
