group,frame,class,count
pg6_5,94,pg_el,9
pg6_5,94,pg_im,2
pg6_5,95,pg_el,9
pg6_5,95,pg_im,2
pg6_5,96,pg_el,9
pg6_5,96,pg_im,2
pg6_5,97,pg_el,9
pg6_5,97,pg_im,2
pg8_1,1,pg_im,12
pg8_1,2,pg_im,12
pg8_1,3,pg_im,12
pg8_1,4,pg_el,1
pg8_1,4,pg_im,11
pg8_1,5,pg_el,1
pg8_1,5,pg_im,11
pg8_1,6,pg_el,1
pg8_1,6,pg_im,11
pg8_1,7,pg_el,1
pg8_1,7,pg_im,11
pg8_1,8,pg_im,12
pg8_1,9,pg_im,12
pg8_1,10,pg_im,12
pg8_1,11,pg_im,12
pg8_1,12,pg_el,1
pg8_1,12,pg_im,11
pg8_1,13,pg_el,1
pg8_1,13,pg_im,11
pg8_1,14,pg_el,1
pg8_1,14,pg_im,11
pg8_1,15,pg_el,1
pg8_1,15,pg_im,11
pg8_1,16,pg_el,2
pg8_1,16,pg_im,10
pg8_1,17,pg_el,2
pg8_1,17,pg_im,10
pg8_1,18,pg_el,2
pg8_1,18,pg_im,10
pg8_1,19,pg_el,3
pg8_1,19,pg_im,9
pg8_1,20,pg_el,3
pg8_1,20,pg_im,9
pg8_1,21,pg_el,3
pg8_1,21,pg_im,9
pg8_1,22,pg_el,3
pg8_1,22,pg_im,9
pg8_1,23,pg_el,3
pg8_1,23,pg_im,9
pg8_1,24,pg_el,3
pg8_1,24,pg_im,9
pg8_1,25,pg_el,3
pg8_1,25,pg_im,9
pg8_1,26,pg_el,4
pg8_1,26,pg_im,8
pg8_1,27,pg_el,6
pg8_1,27,pg_im,6
pg8_1,28,pg_el,6
pg8_1,28,pg_im,6
pg8_1,29,pg_el,7
pg8_1,29,pg_im,5
pg8_1,30,pg_el,7
pg8_1,30,pg_im,5
pg8_1,31,pg_el,7
pg8_1,31,pg_im,5
pg8_1,32,pg_el,7
pg8_1,32,pg_im,5
pg8_1,33,pg_el,7
pg8_1,33,pg_im,5
pg8_1,34,pg_el,7
pg8_1,34,pg_im,5
pg8_1,35,pg_el,8
pg8_1,35,pg_im,4
pg8_1,36,pg_el,9
pg8_1,36,pg_im,3
pg8_1,37,pg_el,10
pg8_1,37,pg_im,2
pg8_1,38,pg_el,11
pg8_1,38,pg_im,1
pg8_1,39,pg_el,12
pg8_1,40,pg_el,11
pg8_1,40,pg_im,1
pg8_1,41,pg_el,11
pg8_1,41,pg_im,1
pg8_1,42,pg_el,12
pg8_1,43,pg_el,12
pg8_1,44,pg_el,12
pg8_1,45,pg_el,12
pg8_1,46,pg_el,12
pg8_1,47,pg_el,12
pg8_1,48,pg_el,12
pg8_1,49,pg_el,12
pg8_1,50,pg_el,12
pg8_1,51,pg_el,12
pg8_1,52,pg_el,12
pg8_1,53,pg_el,12
pg8_1,54,pg_el,12
pg8_1,55,pg_el,12
pg8_1,56,pg_el,12
pg8_1,57,pg_el,12
pg8_1,58,pg_el,12
pg8_1,59,pg_el,12
pg8_1,60,pg_el,12
pg8_1,61,pg_el,12
pg8_1,62,pg_el,12
pg8_1,63,pg_el,12
pg8_1,64,pg_el,12
pg8_1,65,pg_el,12
pg8_1,66,pg_el,12
pg8_1,67,pg_el,12
