group,object_index,transition_frame,spatial_jump,previous_class,current_class
pg1_8,4,83,138.94693231590253,pg_el,pg_im
pg1_8,4,84,80.23091673413684,pg_im,pg_el
pg1_8,4,87,182.26148797812445,pg_el,pg_im
pg1_8,4,88,275.3270782178898,pg_im,pg_el
pg1_8,4,93,112.50444435665642,pg_el,pg_im
pg1_8,4,94,225.85393509965684,pg_im,pg_el
pg1_8,4,97,117.89508047412326,pg_el,pg_im
pg1_8,5,26,327.15630820756,pg_im,pg_el
pg1_8,5,31,145.57815770231468,pg_el,pg_im
pg1_8,5,34,152.8217916398051,pg_im,pg_el
pg1_8,5,35,111.68818200687126,pg_el,pg_im
pg1_8,5,36,111.68818200687126,pg_im,pg_el
pg1_8,5,37,153.59850259686777,pg_el,pg_im
pg1_8,5,38,262.9923953273174,pg_im,pg_el
pg1_8,5,41,132.07005716664167,pg_el,pg_im
pg1_8,5,44,241.01452238402564,pg_im,pg_el
pg1_8,5,47,155.58920271021378,pg_el,pg_im
pg1_8,5,49,226.51765935573323,pg_im,pg_el
pg1_8,5,54,210.03809178337153,pg_el,pg_im
pg1_8,5,55,299.38478585258804,pg_im,pg_el
pg1_8,5,56,299.1028251287507,pg_el,pg_im
pg1_8,5,57,197.7725966861941,pg_im,pg_el
pg1_8,5,58,281.8802937418648,pg_el,pg_im
pg1_8,5,62,184.00271737123884,pg_im,pg_el
pg1_8,5,66,182.26148797812445,pg_el,pg_im
pg1_8,5,69,107.61621625015442,pg_im,pg_el
pg1_8,5,73,242.8955536851179,pg_el,pg_im
pg1_8,5,75,225.6263504114712,pg_im,pg_el
pg1_8,5,77,165.16204164395643,pg_el,pg_im
pg1_8,5,79,214.53787544394115,pg_im,pg_el
pg1_8,5,80,214.04263593966508,pg_el,pg_im
pg1_8,5,81,121.62442188968464,pg_im,pg_el
pg1_8,5,84,160.8112247326038,pg_el,pg_im
pg1_8,5,87,213.47892167612238,pg_im,pg_el
pg1_8,5,88,72.56031973468694,pg_el,pg_im
pg1_8,5,90,225.85393509965684,pg_im,pg_el
pg1_8,5,91,153.6635936062931,pg_el,pg_im
pg1_8,5,92,105.27226605331529,pg_im,pg_el
pg1_8,5,97,155.04918574439532,pg_el,pg_im
pg1_8,6,18,100.34440691936945,pg_im,pg_el
pg1_8,6,19,164.26959548254814,pg_el,pg_im
pg1_8,6,20,164.26959548254814,pg_im,pg_el
pg1_8,6,21,164.26959548254814,pg_el,pg_im
pg1_8,6,24,156.52236261953115,pg_im,pg_el
pg1_8,6,25,196.45991957648766,pg_el,pg_im
pg1_8,6,27,0.7071067811865476,pg_im,pg_el
pg1_8,6,28,137.99003587215998,pg_el,pg_im
pg1_8,6,29,103.07764064044152,pg_im,pg_el
pg1_8,6,33,214.64913230665528,pg_el,pg_im
pg1_8,6,35,102.37431318450932,pg_im,pg_el
pg1_8,6,37,249.0180716333656,pg_el,pg_im
pg1_8,6,38,165.16204164395643,pg_im,pg_el
pg1_8,6,41,238.71426434128313,pg_el,pg_im
pg1_8,6,45,218.13585216557135,pg_im,pg_el
pg1_8,6,56,262.42189314155934,pg_el,pg_im
pg1_8,6,57,133.29759937823337,pg_im,pg_el
pg1_8,6,58,241.1850948960155,pg_el,pg_im
pg1_8,6,62,274.23530042647684,pg_im,pg_el
pg1_8,6,66,142.12670403551894,pg_el,pg_im
pg1_8,6,67,202.73751502866952,pg_im,pg_el
pg1_8,6,70,304.3098749630054,pg_el,pg_im
pg1_8,6,71,304.3098749630054,pg_im,pg_el
pg1_8,6,77,311.843310013218,pg_el,pg_im
pg1_8,6,81,182.26148797812445,pg_im,pg_el
pg1_8,6,83,204.64664668642874,pg_el,pg_im
pg1_8,6,85,78.79086241436883,pg_im,pg_el
pg1_8,6,86,75.80567261095966,pg_el,pg_im
pg1_8,6,87,217.13878050684545,pg_im,pg_el
pg1_8,6,89,142.20056258679148,pg_el,pg_im
pg1_8,6,90,307.45772067066395,pg_im,pg_el
pg1_8,6,92,116.27230968721659,pg_el,pg_im
pg1_8,6,93,105.27226605331529,pg_im,pg_el
pg1_8,6,94,104.86181383134664,pg_el,pg_im
pg1_8,6,95,153.5358264380011,pg_im,pg_el
pg1_8,6,96,110.86027241532469,pg_el,pg_im
pg1_8,6,97,59.434838268476845,pg_im,pg_el
pg1_8,7,26,216.68698622667674,pg_im,pg_el
pg1_8,7,29,145.57815770231468,pg_el,pg_im
pg1_8,7,31,145.57815770231468,pg_im,pg_el
pg1_8,7,33,241.01452238402564,pg_el,pg_im
pg1_8,7,36,240.16869071550522,pg_im,pg_el
pg1_8,7,38,217.85889929034343,pg_el,pg_im
pg1_8,7,39,217.85889929034343,pg_im,pg_el
pg1_8,7,42,216.8553665464611,pg_el,pg_im
pg1_8,7,43,118.15773355984787,pg_im,pg_el
pg1_8,7,47,327.1704448754502,pg_el,pg_im
pg1_8,7,48,182.26148797812445,pg_im,pg_el
pg1_8,7,50,112.74972283779681,pg_el,pg_im
pg1_8,7,55,133.18408313308313,pg_im,pg_el
pg1_8,7,56,214.63049643515248,pg_el,pg_im
pg1_8,7,57,153.92287029548274,pg_im,pg_el
pg1_8,7,58,226.29184695874486,pg_el,pg_im
pg1_8,7,61,241.76486510657415,pg_im,pg_el
pg1_8,7,65,112.14722466472365,pg_el,pg_im
pg1_8,7,68,215.17260513364613,pg_im,pg_el
pg1_8,7,70,250.8635087054313,pg_el,pg_im
pg1_8,7,71,165.16204164395643,pg_im,pg_el
pg1_8,7,72,214.6071993200601,pg_el,pg_im
pg1_8,7,73,242.8955536851179,pg_im,pg_el
pg1_8,7,75,168.70758726269545,pg_el,pg_im
pg1_8,7,76,300.5698754033744,pg_im,pg_el
pg1_8,7,78,299.5567558910999,pg_el,pg_im
pg1_8,7,80,218.25501139721854,pg_im,pg_el
pg1_8,7,82,82.17207554881402,pg_el,pg_im
pg1_8,7,83,230.70543990118657,pg_im,pg_el
pg1_8,7,84,326.26714514336254,pg_el,pg_im
pg1_8,7,87,306.47716064985985,pg_im,pg_el
pg1_8,7,88,118.06460096066051,pg_el,pg_im
pg1_8,7,91,216.33885457772027,pg_im,pg_el
pg1_8,7,92,215.87033144922904,pg_el,pg_im
pg1_8,7,94,104.86181383134664,pg_im,pg_el
pg1_8,7,97,118.17465887405811,pg_el,pg_im
pg1_8,8,22,310.1632634597463,pg_im,pg_el
pg1_8,8,23,310.1632634597463,pg_el,pg_im
pg1_8,8,25,327.15630820756,pg_im,pg_el
pg1_8,8,26,156.52236261953115,pg_el,pg_im
pg1_8,8,29,226.5226258014859,pg_im,pg_el
pg1_8,8,31,226.5226258014859,pg_el,pg_im
pg1_8,8,32,327.15630820756,pg_im,pg_el
pg1_8,8,34,307.02809317715537,pg_el,pg_im
pg1_8,8,36,131.09729211543615,pg_im,pg_el
pg1_8,8,37,145.3977303811858,pg_el,pg_im
pg1_8,8,39,147.5008474551926,pg_im,pg_el
pg1_8,8,41,226.5226258014859,pg_el,pg_im
pg1_8,8,42,327.1704448754502,pg_im,pg_el
pg1_8,8,45,154.7142527371024,pg_el,pg_im
