group,object_index,frame_count,mean_step_distance,median_step_distance,max_step_distance,p95_step_distance,large_jump_count,very_large_jump_count
pg1_8,9,97,182.9678386679644,167.4577696993946,366.5276251525934,357.02805743704073,89,89
pg1_9,0,97,160.52774644921453,166.26826260276164,386.73020311322983,345.7428030672868,84,84
pg1_9,1,97,150.13569181448668,145.69537984851846,386.0945480060551,312.01885552809534,82,82
pg1_9,2,97,170.059791475371,173.44163283364233,375.3245262436229,311.02867720806245,89,89
pg1_9,3,97,182.00520738777882,180.73630617297636,385.852951265116,354.75242849290566,91,91
pg1_9,4,97,152.75816060815214,148.64854374953006,386.73020311322983,311.9010643916408,80,80
pg1_9,5,97,157.67590836958837,175.74018266915704,328.8453283840292,278.7686732106746,88,88
pg1_9,6,97,186.35922014694063,193.78529153357198,384.38294707231745,325.8999405835236,89,89
pg1_9,7,97,154.45202956339847,146.79449644401421,386.51778743028115,319.8690160055047,84,84
pg1_9,8,97,163.15896746416672,163.62457028209425,385.852951265116,308.7249709704286,85,85
pg1_9,9,97,170.10244815153078,173.690843457676,381.07118757523506,319.17029678145263,84,84
pg2_1,0,97,0.6925351902759932,0.5,12.165525060596439,1.6858541225631423,1,0
pg2_1,1,97,0.08150578458684124,0.0,6.324555320336759,0.0,0,0
pg2_1,2,97,0.21969617343440165,0.0,7.0710678118654755,0.5,0,0
pg2_1,3,97,0.4894135279541178,0.5,6.082762530298219,1.3385254915624212,0,0
pg2_1,4,97,0.22522208691207965,0.0,5.0,0.5517766952966369,0,0
pg2_1,5,97,0.17819870957363274,0.0,6.082762530298219,1.118033988749895,0,0
pg2_1,6,97,0.6613806389785585,0.5,5.522680508593631,2.0,0,0
pg2_1,7,97,0.7045695743699795,0.5,6.96419413859206,2.0615528128088303,0,0
pg2_1,8,97,0.7292628320367415,0.5,10.124228365658293,2.625,1,0
pg2_1,9,97,0.9874463625491883,1.118033988749895,5.522680508593631,2.0615528128088303,0,0
pg2_10,0,97,0.0705032867564873,0.0,3.3541019662496847,0.5,0,0
pg2_10,1,97,0.19791666666666666,0.0,7.5,0.5,0,0
pg2_10,2,97,0.0812216325514169,0.0,5.5901699437494745,0.125,0,0
pg2_10,3,97,0.23695441403143125,0.0,4.301162633521313,0.7071067811865476,0,0
pg2_10,4,97,0.5386154919100824,0.0,6.800735254367722,2.548145600891813,0,0
pg2_10,5,97,1.0829894547456054,1.118033988749895,3.3541019662496847,2.10518160398157,0,0
pg2_10,6,97,1.1969335524673126,1.4142135623730951,3.5,3.0,0,0
pg2_10,7,97,0.5527023710609422,0.5,2.692582403567252,1.8520817282989959,0,0
