group,frame,object_count,mean_identity_distance,median_identity_distance,max_identity_distance,mean_nearest_distance,median_nearest_distance,max_nearest_distance,identity_is_nearest_count,identity_is_nearest_fraction
pg1_10,25,10,0.4302775637731995,0.25,1.8027756377319946,0.4302775637731995,0.25,1.8027756377319946,10,1.0
pg1_10,26,10,0.12071067811865474,0.0,0.7071067811865476,0.12071067811865474,0.0,0.7071067811865476,10,1.0
pg1_10,27,10,0.1,0.0,0.5,0.1,0.0,0.5,10,1.0
pg1_10,28,10,0.15,0.0,0.5,0.15,0.0,0.5,10,1.0
pg1_10,29,10,0.12071067811865474,0.0,0.7071067811865476,0.12071067811865474,0.0,0.7071067811865476,10,1.0
pg1_10,30,10,0.12071067811865474,0.0,0.7071067811865476,0.12071067811865474,0.0,0.7071067811865476,10,1.0
pg1_10,31,10,0.1,0.0,0.5,0.1,0.0,0.5,10,1.0
pg1_10,32,10,0.07071067811865475,0.0,0.7071067811865476,0.07071067811865475,0.0,0.7071067811865476,10,1.0
pg1_10,33,10,0.22071067811865475,0.0,0.7071067811865476,0.22071067811865475,0.0,0.7071067811865476,10,1.0
pg1_10,34,10,0.05,0.0,0.5,0.05,0.0,0.5,10,1.0
pg1_10,35,10,0.05,0.0,0.5,0.05,0.0,0.5,10,1.0
pg1_10,36,10,0.05,0.0,0.5,0.05,0.0,0.5,10,1.0
pg1_10,37,10,0.12071067811865474,0.0,0.7071067811865476,0.12071067811865474,0.0,0.7071067811865476,10,1.0
pg1_10,38,10,0.2,0.0,0.5,0.2,0.0,0.5,10,1.0
pg1_10,39,10,0.23251407699364424,0.0,1.118033988749895,0.23251407699364424,0.0,1.118033988749895,10,1.0
pg1_10,40,10,0.05,0.0,0.5,0.05,0.0,0.5,10,1.0
pg1_10,41,10,0.24142135623730948,0.0,1.4142135623730951,0.24142135623730948,0.0,1.4142135623730951,10,1.0
pg1_10,42,10,0.63309518948453,0.0,5.830951894845301,0.63309518948453,0.0,5.830951894845301,10,1.0
pg1_10,43,10,0.6277449242648899,0.0,3.0413812651491097,0.6277449242648899,0.0,3.0413812651491097,10,1.0
pg1_10,44,10,0.2943174758686337,0.0,2.23606797749979,0.2943174758686337,0.0,2.23606797749979,10,1.0
pg1_10,45,10,0.382842712474619,0.25,1.4142135623730951,0.382842712474619,0.25,1.4142135623730951,10,1.0
pg1_10,46,10,0.41400549446402585,0.0,3.640054944640259,0.41400549446402585,0.0,3.640054944640259,10,1.0
pg1_10,47,10,0.25,0.0,1.0,0.25,0.0,1.0,10,1.0
pg1_10,48,10,0.29142135623730947,0.25,0.7071067811865476,0.29142135623730947,0.25,0.7071067811865476,10,1.0
pg1_10,49,10,0.3414213562373095,0.25,1.0,0.3414213562373095,0.25,1.0,10,1.0
pg1_10,50,10,0.3414213562373095,0.0,1.0,0.3414213562373095,0.0,1.0,10,1.0
pg1_10,51,10,0.38251407699364426,0.0,1.118033988749895,0.38251407699364426,0.0,1.118033988749895,10,1.0
pg1_10,52,10,0.35,0.25,1.0,0.35,0.25,1.0,10,1.0
pg1_10,53,10,0.523606797749979,0.0,2.5,0.523606797749979,0.0,2.5,10,1.0
pg1_10,54,10,0.536067467586918,0.0,2.1213203435596424,0.536067467586918,0.0,2.1213203435596424,10,1.0
pg1_10,55,10,0.9362459957927196,0.5,4.123105625617661,0.9362459957927196,0.5,4.123105625617661,10,1.0
pg1_10,56,10,0.9861450479002464,0.0,4.743416490252569,0.9861450479002464,0.0,4.743416490252569,10,1.0
pg1_10,57,10,0.503224755112299,0.5,1.4142135623730951,0.503224755112299,0.5,1.4142135623730951,10,1.0
pg1_10,58,10,0.671698920010509,0.5,1.8027756377319946,0.671698920010509,0.5,1.8027756377319946,10,1.0
pg1_10,59,10,0.6317206807583979,0.5,1.5811388300841898,0.6317206807583979,0.5,1.5811388300841898,10,1.0
pg1_10,60,10,0.8790194067836816,0.6035533905932737,3.1622776601683795,0.8790194067836816,0.6035533905932737,3.1622776601683795,10,1.0
pg1_10,61,10,0.5613386381207179,0.25,1.5811388300841898,0.5613386381207179,0.25,1.5811388300841898,10,1.0
pg1_10,62,10,0.7135757162253589,0.5,2.692582403567252,0.7135757162253589,0.5,2.692582403567252,10,1.0
pg1_10,63,10,0.9043392355091087,0.8535533905932737,2.9154759474226504,0.9043392355091087,0.8535533905932737,2.9154759474226504,10,1.0
pg1_10,64,10,0.48106163923171474,0.0,2.692582403567252,0.48106163923171474,0.0,2.692582403567252,10,1.0
pg1_10,65,10,0.7703721558693388,0.3535533905932738,2.9154759474226504,0.7703721558693388,0.3535533905932738,2.9154759474226504,10,1.0
pg1_10,66,10,0.7372169205125978,0.5,2.692582403567252,0.7372169205125978,0.5,2.692582403567252,10,1.0
pg1_10,67,10,0.8076496871383435,0.5,2.692582403567252,0.8076496871383435,0.5,2.692582403567252,10,1.0
pg1_10,68,10,0.7740616717359092,0.3535533905932738,2.9154759474226504,0.7740616717359092,0.3535533905932738,2.9154759474226504,10,1.0
pg1_10,69,10,0.804238082764682,0.5,2.692582403567252,0.804238082764682,0.5,2.692582403567252,10,1.0
pg1_10,70,10,0.8605452418854718,0.3535533905932738,3.1622776601683795,0.8605452418854718,0.3535533905932738,3.1622776601683795,10,1.0
pg1_10,71,10,0.7585866401579358,0.3535533905932738,2.23606797749979,0.7585866401579358,0.3535533905932738,2.23606797749979,10,1.0
pg1_10,72,10,0.770365892531749,0.25,3.0413812651491097,0.770365892531749,0.25,3.0413812651491097,10,1.0
pg1_10,73,10,0.931816935079177,0.8535533905932737,2.5495097567963922,0.931816935079177,0.8535533905932737,2.5495097567963922,10,1.0
pg1_10,74,10,0.8923003291811294,0.5,3.1622776601683795,0.8923003291811294,0.5,3.1622776601683795,10,1.0
pg1_10,75,10,0.8924002773524325,0.8090169943749475,2.692582403567252,0.8924002773524325,0.8090169943749475,2.692582403567252,10,1.0
pg1_10,76,10,0.9457036044207625,0.5,3.0413812651491097,0.9457036044207625,0.5,3.0413812651491097,10,1.0
pg1_10,77,10,0.7785577734296182,0.25,2.5495097567963922,0.7785577734296182,0.25,2.5495097567963922,10,1.0
pg1_10,78,10,1.0517723173503692,0.8535533905932737,3.0,1.0517723173503692,0.8535533905932737,3.0,10,1.0
pg1_10,79,10,1.8783680099533975,0.25,11.672617529928752,1.8783680099533975,0.25,11.672617529928752,10,1.0
