group,track_id,total_frames,mean_movement,median_movement,max_movement,movement_std,jumps_gt_005,jumps_gt_010,jumps_gt_020,mean_center_x,mean_center_y,std_center_x,std_center_y,min_center_x,max_center_x,min_center_y,max_center_y,mean_width,mean_height,std_width,std_height,min_width,max_width,min_height,max_height,width_change,height_change,width_growth_ratio,height_growth_ratio,mean_area,max_area,area_change,area_growth_ratio,mean_iou,min_iou,mean_match_cost,max_match_cost,class_transition_count,zm_el_count_75pct,zm_el_fraction_75pct,observed_zm_el_75pct,early_width,middle_width,late_width,early_height,middle_height,late_height,width_growth_early_late,height_growth_early_late,germination_target,final_label
zm1_10,1,72,0.00012965502069836666,0.0,0.0017917211358171,0.00036713131886078937,0,0,0,0.5589053596866097,0.20677528490028488,0.0006808678564789167,0.0005323299832221146,0.5576923076923077,0.5608974358974359,0.20592948717948717,0.2075320512820513,0.1255119301994302,0.13310185185185183,0.001977693476756535,0.0022646184725742297,0.11538461538461539,0.1266025641025641,0.1266025641025641,0.1362179487179487,0.011217948717948706,0.009615384615384609,1.097222222222222,1.0759493670886076,0.016709641409160637,0.01724554158448389,0.002637553418803418,1.1805555555555556,0.9977211571517915,0.9608108108108108,0.0008818707603269028,0.0148808349544973,0,0,0.0,0,0.1233974358974359,0.1265357905982906,0.1266025641025641,0.13040865384615385,0.13361378205128205,0.13528311965811965,0.0032051282051281937,0.004874465811965795,1,GERMINATED
zm1_10,2,72,0.00012241809116808334,0.0,0.000801282051282,0.0002882797775771854,0,0,0,0.2907986111111111,0.27630876068376076,0.0002214626596124054,0.000934829059829059,0.2900641025641026,0.29086538461538464,0.27323717948717946,0.27724358974358976,0.11044337606837609,0.13728632478632477,0.0004429253192248112,0.004050681326950617,0.10897435897435898,0.11057692307692307,0.125,0.14102564102564102,0.0016025641025640969,0.016025641025641024,1.0147058823529411,1.1282051282051282,0.015163649303272705,0.015594181459566075,0.001972386587771203,1.1447963800904977,0.9981333994554584,0.9855072463768116,0.0007328819498488236,0.0055932971014492,0,0,0.0,0,0.11017628205128205,0.11057692307692307,0.11057692307692307,0.13267895299145296,0.13822115384615385,0.14095886752136752,0.0004006410256410242,0.008279914529914556,0,NON-GERMINATED
zm1_10,3,72,0.00011128917378916805,0.0,0.0016025641025641,0.00030760939639166366,0,0,0,0.42522480413105407,0.3955551103988604,0.00037360688950308204,0.0012251416684459018,0.42467948717948717,0.4254807692307692,0.3926282051282051,0.39823717948717946,0.10685986467236466,0.12159455128205127,0.0007472137790061633,0.00199763291955817,0.10576923076923077,0.10737179487179487,0.11858974358974358,0.1266025641025641,0.0016025641025640969,0.0048076923076923045,1.0151515151515151,1.0394736842105263,0.012994330815344436,0.013593544543063772,0.0007113946416831014,1.0552232854864432,0.9981546554027712,0.9736842105263158,0.0007182085719930737,0.0102521929824561,1,6,0.08333333333333333,1,0.10583600427350426,0.10737179487179487,0.10737179487179487,0.12012553418803418,0.12086004273504274,0.12379807692307693,0.0015357905982906067,0.0036725427350427498,1,GERMINATED
zm1_10,4,72,0.00018919159544158472,0.0,0.0016025641025641,0.0003655641850439824,0,0,0,0.6908386752136753,0.4078525641025641,0.001133183944209207,0.0005821179144685706,0.6875,0.6931089743589743,0.40625,0.40865384615384615,0.12816061253561253,0.11391559829059829,0.0023735661479288277,0.003428284629538846,0.125,0.1330128205128205,0.10576923076923077,0.11858974358974358,0.008012820512820512,0.012820512820512817,1.064102564102564,1.121212121212121,0.01460417151773322,0.01577395627876397,0.002552802432610123,1.193084693084693,0.9968680456609906,0.975,0.0012191585556902652,0.0097916666666666,1,13,0.18055555555555555,1,0.1268028846153846,0.1266025641025641,0.13107638888888892,0.10950854700854701,0.11511752136752136,0.11712072649572648,0.004273504273504314,0.007612179487179474,1,GERMINATED
zm1_10,5,72,0.0002409441944875375,0.0,0.0017917211358171,0.00048602484788160905,0,0,0,0.8775819088319087,0.5343994836182335,0.0008779862412444786,0.0033100438706600258,0.875,0.8782051282051282,0.5240384615384616,0.5376602564102564,0.10857371794871798,0.12586805555555555,0.00174635374340572,0.002937275300203362,0.10256410256410256,0.11057692307692307,0.12179487179487179,0.12980769230769232,0.006410256410256415,0.008012820512820526,1.0625,1.0657894736842106,0.013667987012838776,0.014145710059171599,0.001653928336620647,1.132401315789474,0.995740510978217,0.9596742923613804,0.001647434884041032,0.015278616411798,0,0,0.0,0,0.1074385683760684,0.10930822649572651,0.10897435897435898,0.12252938034188036,0.12566773504273504,0.1294070512820513,0.001535790598290579,0.00687767094017093,0,NON-GERMINATED
zm1_10,6,72,7.790242165241805e-05,0.0,0.0016025641025641,0.0002723744268723287,0,0,0,0.22208867521367523,0.5587161680911682,0.0005972403786057225,0.0009924099363251358,0.22115384615384615,0.22275641025641027,0.5576923076923077,0.561698717948718,0.14236111111111105,0.10389957264957264,0.001194480757211422,0.0015343383137120816,0.14102564102564102,0.14423076923076922,0.10096153846153846,0.10576923076923077,0.0032051282051281937,0.0048076923076923045,1.0227272727272727,1.0476190476190477,0.01479275672985609,0.015255177514792898,0.0010170118343195249,1.0714285714285714,0.9986144694902302,0.96875,0.0005355722524934793,0.0119791666666666,1,11,0.1527777777777778,1,0.14102564102564102,0.1424278846153846,0.14362980769230768,0.10223023504273505,0.10416666666666667,0.10530181623931623,0.0026041666666666574,0.003071581196581172,1,GERMINATED
zm1_10,7,72,6.67735042735e-05,0.0,0.000801282051282,0.00022146265961239212,0,0,0,0.38806534900284906,0.5727163461538461,0.0008193181231884743,0.0004768582016922291,0.3870192307692308,0.3894230769230769,0.5713141025641025,0.5729166666666666,0.11925747863247861,0.1326121794871795,0.0010931293765855327,0.0009537164033844595,0.11698717948717949,0.1201923076923077,0.12980769230769232,0.1330128205128205,0.0032051282051282076,0.0032051282051281937,1.0273972602739727,1.0246913580246912,0.015815761058148876,0.01598711785009862,0.0008012820512820484,1.052765093860984,0.9989200440522805,0.9864864864864864,0.00042138735947966116,0.005250563063063,0,0,0.0,0,0.11852297008547008,0.11925747863247861,0.11999198717948718,0.13181089743589744,0.1330128205128205,0.1330128205128205,0.0014690170940171027,0.0012019230769230727,1,GERMINATED
zm1_10,8,72,7.790242165241666e-05,0.0,0.000801282051282,0.0002373879207587715,0,0,0,0.6207487535612537,0.5955528846153845,0.0010226500184882573,0.0003950373786791928,0.6193910256410257,0.6225961538461539,0.594551282051282,0.5961538461538461,0.11133368945868947,0.10723824786324787,0.0017303945624623225,0.001902751983009483,0.10897435897435898,0.11378205128205128,0.10096153846153846,0.10897435897435898,0.0032051282051282076,0.008012820512820512,1.028985507246377,1.0793650793650793,0.011940864642687558,0.012399326101249178,0.0012353098290598281,1.110651023694502,0.9981540593058005,0.9692307692307692,0.0006967158170438736,0.0107692307692307,0,0,0.0,0,0.10950854700854701,0.11117788461538462,0.11331463675213675,0.10563568376068376,0.10737179487179487,0.10870726495726496,0.003806089743589744,0.0030715811965811995,0,NON-GERMINATED
zm1_10,9,72,0.0001224180911680861,0.0,0.0024038461538461,0.0003929942036816463,0,0,0,0.4415731837606837,0.7394386574074073,0.0009607034301507813,0.0007474623669073614,0.4391025641025641,0.44310897435897434,0.7347756410256411,0.7395833333333334,0.13928952991452992,0.11999198717948717,0.0019214068603015686,0.000997141060568116,0.1362179487179487,0.14423076923076922,0.11378205128205128,0.1201923076923077,0.008012820512820512,0.006410256410256415,1.0588235294117647,1.0563380281690142,0.01671424278846154,0.01733542899408284,0.0018362713675213697,1.1184755592377797,0.9980843200211482,0.9594594594594594,0.0007500597518573901,0.0157516891891892,0,0,0.0,0,0.1373530982905983,0.1390892094017094,0.14142628205128205,0.11959134615384615,0.1201923076923077,0.1201923076923077,0.004073183760683746,0.0006009615384615502,1,GERMINATED
zm1_10,10,72,0.00012702783968096112,0.0,0.0011331839442092,0.00030145107214456045,0,0,0,0.6974269943019942,0.7811275819088319,0.0009954006310095192,0.0006631751653952785,0.6963141025641025,0.6987179487179487,0.7788461538461539,0.782051282051282,0.12580128205128205,0.10129540598290596,0.001133183944209207,0.003248652792513397,0.12179487179487179,0.1266025641025641,0.09294871794871795,0.10416666666666667,0.0048076923076923045,0.01121794871794872,1.0394736842105263,1.1206896551724137,0.012746248698772734,0.013187767094017094,0.0018670899079552931,1.1649274047186933,0.997549735596052,0.9723412543825476,0.0009401606371744002,0.0104171305298442,0,0,0.0,0,0.12446581196581197,0.12633547008547008,0.1266025641025641,0.09742254273504274,0.10229700854700856,0.10416666666666667,0.002136752136752129,0.006744123931623935,0,NON-GERMINATED
