group,frame,track_id,previous_object_index,current_object_index,center_distance,object_index_preserved
pg1_1,53,8,8,8,0.5,True
pg1_1,53,9,9,9,2.23606797749979,True
pg1_1,54,0,0,0,3.5,True
pg1_1,54,1,1,1,0.0,True
pg1_1,54,2,2,2,0.0,True
pg1_1,54,3,3,3,0.0,True
pg1_1,54,4,4,4,0.0,True
pg1_1,54,5,5,5,0.0,True
pg1_1,54,6,6,6,0.0,True
pg1_1,54,7,7,7,0.0,True
pg1_1,54,8,8,8,0.0,True
pg1_1,54,9,9,9,2.23606797749979,True
pg1_1,55,0,0,0,0.7071067811865476,True
pg1_1,55,1,1,1,0.0,True
pg1_1,55,2,2,2,0.0,True
pg1_1,55,3,3,3,0.0,True
pg1_1,55,4,4,4,0.0,True
pg1_1,55,5,5,5,0.0,True
pg1_1,55,6,6,6,0.0,True
pg1_1,55,7,7,7,0.0,True
pg1_1,55,8,8,8,0.0,True
pg1_1,55,9,9,9,3.640054944640259,True
pg1_1,56,0,0,0,1.0,True
pg1_1,56,1,1,1,0.0,True
pg1_1,56,2,2,2,0.0,True
pg1_1,56,3,3,3,0.0,True
pg1_1,56,4,4,4,0.0,True
pg1_1,56,5,5,5,0.0,True
pg1_1,56,6,6,6,0.0,True
pg1_1,56,7,7,7,0.0,True
pg1_1,56,8,8,8,0.0,True
pg1_1,56,9,9,9,1.0,True
pg1_1,57,0,0,0,3.0,True
pg1_1,57,1,1,1,0.0,True
pg1_1,57,2,2,2,0.0,True
pg1_1,57,3,3,3,0.0,True
pg1_1,57,4,4,4,0.0,True
pg1_1,57,5,5,5,0.0,True
pg1_1,57,6,6,6,0.0,True
pg1_1,57,7,7,7,0.0,True
pg1_1,57,8,8,8,0.5,True
pg1_1,57,9,9,9,1.5,True
pg1_1,58,0,0,0,3.3541019662496847,True
pg1_1,58,1,1,1,0.0,True
pg1_1,58,2,2,2,0.0,True
pg1_1,58,3,3,3,0.0,True
pg1_1,58,4,4,4,0.0,True
pg1_1,58,5,5,5,0.0,True
pg1_1,58,6,6,6,0.0,True
pg1_1,58,7,7,7,0.0,True
pg1_1,58,8,8,8,0.0,True
pg1_1,58,9,9,9,0.0,True
pg1_1,59,0,0,0,1.8027756377319946,True
pg1_1,59,1,1,1,0.0,True
pg1_1,59,2,2,2,0.0,True
pg1_1,59,3,3,3,0.0,True
pg1_1,59,4,4,4,0.0,True
pg1_1,59,5,5,5,0.0,True
pg1_1,59,6,6,6,0.0,True
pg1_1,59,7,7,7,0.0,True
pg1_1,59,8,8,8,0.0,True
pg1_1,59,9,9,9,0.0,True
pg1_1,60,0,0,0,3.5,True
pg1_1,60,1,1,1,0.0,True
pg1_1,60,2,2,2,0.0,True
pg1_1,60,3,3,3,0.0,True
pg1_1,60,4,4,4,0.0,True
pg1_1,60,5,5,5,0.0,True
pg1_1,60,6,6,6,0.0,True
pg1_1,60,7,7,7,0.0,True
pg1_1,60,8,8,8,0.5,True
pg1_1,60,9,9,9,4.0,True
pg1_1,61,0,0,0,0.7071067811865476,True
pg1_1,61,1,1,1,0.0,True
pg1_1,61,2,2,2,0.0,True
pg1_1,61,3,3,3,0.0,True
pg1_1,61,4,4,4,0.0,True
pg1_1,61,5,5,5,0.0,True
pg1_1,61,6,6,6,0.0,True
pg1_1,61,7,7,7,0.0,True
pg1_1,61,8,8,8,0.0,True
pg1_1,61,9,9,9,0.7071067811865476,True
pg1_1,62,0,0,0,0.5,True
pg1_1,62,1,1,1,0.0,True
pg1_1,62,2,2,2,0.0,True
pg1_1,62,3,3,3,0.0,True
pg1_1,62,4,4,4,0.0,True
pg1_1,62,5,5,5,0.0,True
pg1_1,62,6,6,6,0.0,True
pg1_1,62,7,7,7,0.0,True
pg1_1,62,8,8,8,0.0,True
pg1_1,62,9,9,9,1.0,True
pg1_1,63,0,0,0,2.23606797749979,True
pg1_1,63,1,1,1,0.0,True
pg1_1,63,2,2,2,0.0,True
pg1_1,63,3,3,3,0.0,True
pg1_1,63,4,4,4,0.0,True
pg1_1,63,5,5,5,0.0,True
pg1_1,63,6,6,6,0.0,True
pg1_1,63,7,7,7,0.0,True
pg1_1,63,8,8,8,0.5,True
pg1_1,63,9,9,9,0.5,True
pg1_1,64,0,0,0,1.8027756377319946,True
pg1_1,64,1,1,1,0.0,True
pg1_1,64,2,2,2,0.0,True
pg1_1,64,3,3,3,0.0,True
pg1_1,64,4,4,4,0.0,True
pg1_1,64,5,5,5,0.0,True
pg1_1,64,6,6,6,0.0,True
pg1_1,64,7,7,7,0.0,True
pg1_1,64,8,8,8,0.5,True
pg1_1,64,9,9,9,1.0,True
pg1_1,65,0,0,0,2.23606797749979,True
pg1_1,65,1,1,1,0.0,True
pg1_1,65,2,2,2,0.0,True
pg1_1,65,3,3,3,0.0,True
pg1_1,65,4,4,4,0.0,True
pg1_1,65,5,5,5,0.0,True
pg1_1,65,6,6,6,0.0,True
pg1_1,65,7,7,7,0.0,True
pg1_1,65,8,8,8,0.0,True
pg1_1,65,9,9,9,0.5,True
pg1_1,66,0,0,0,2.5,True
pg1_1,66,1,1,1,0.0,True
pg1_1,66,2,2,2,0.0,True
pg1_1,66,3,3,3,0.0,True
pg1_1,66,4,4,4,0.0,True
pg1_1,66,5,5,5,0.0,True
pg1_1,66,6,6,6,0.0,True
pg1_1,66,7,7,7,0.0,True
pg1_1,66,8,8,8,0.5,True
pg1_1,66,9,9,9,0.5,True
pg1_1,67,0,0,0,3.0413812651491097,True
pg1_1,67,1,1,1,0.0,True
pg1_1,67,2,2,2,0.0,True
pg1_1,67,3,3,3,0.0,True
pg1_1,67,4,4,4,0.0,True
pg1_1,67,5,5,5,0.0,True
pg1_1,67,6,6,6,0.0,True
pg1_1,67,7,7,7,0.0,True
pg1_1,67,8,8,8,0.0,True
pg1_1,67,9,9,9,0.5,True
pg1_1,68,0,0,0,2.5495097567963922,True
pg1_1,68,1,1,1,0.0,True
pg1_1,68,2,2,2,0.0,True
pg1_1,68,3,3,3,0.0,True
pg1_1,68,4,4,4,0.0,True
pg1_1,68,5,5,5,0.0,True
pg1_1,68,6,6,6,0.0,True
pg1_1,68,7,7,7,0.0,True
pg1_1,68,8,8,8,0.0,True
pg1_1,68,9,9,9,1.5811388300841898,True
pg1_1,69,0,0,0,1.8027756377319946,True
pg1_1,69,1,1,1,0.0,True
pg1_1,69,2,2,2,0.0,True
pg1_1,69,3,3,3,0.0,True
pg1_1,69,4,4,4,0.0,True
pg1_1,69,5,5,5,0.0,True
pg1_1,69,6,6,6,0.0,True
pg1_1,69,7,7,7,0.0,True
pg1_1,69,8,8,8,0.0,True
pg1_1,69,9,9,9,1.5,True
pg1_1,70,0,0,0,2.5,True
pg1_1,70,1,1,1,0.0,True
pg1_1,70,2,2,2,0.0,True
pg1_1,70,3,3,3,0.0,True
pg1_1,70,4,4,4,0.0,True
pg1_1,70,5,5,5,0.0,True
