threshold,accuracy,precision,recall,specificity,balanced_accuracy,f1,tp,tn,fp,fn
0.3,0.9373088685015291,0.956140350877193,0.9714795008912656,0.7311827956989247,0.8513311482950952,0.9637488947833776,545,68,25,16
0.31,0.9388379204892966,0.9578207381370826,0.9714795008912656,0.7419354838709677,0.8567074923811167,0.9646017699115044,545,69,24,16
0.32,0.9388379204892966,0.9578207381370826,0.9714795008912656,0.7419354838709677,0.8567074923811167,0.9646017699115044,545,69,24,16
0.33,0.9403669724770642,0.9595070422535211,0.9714795008912656,0.7526881720430108,0.8620838364671382,0.9654561558901683,545,70,23,16
0.34,0.9403669724770642,0.9595070422535211,0.9714795008912656,0.7526881720430108,0.8620838364671382,0.9654561558901683,545,70,23,16
0.35,0.9403669724770642,0.9595070422535211,0.9714795008912656,0.7526881720430108,0.8620838364671382,0.9654561558901683,545,70,23,16
0.36,0.9403669724770642,0.9595070422535211,0.9714795008912656,0.7526881720430108,0.8620838364671382,0.9654561558901683,545,70,23,16
0.37,0.9403669724770642,0.9595070422535211,0.9714795008912656,0.7526881720430108,0.8620838364671382,0.9654561558901683,545,70,23,16
0.38,0.9388379204892966,0.9594356261022927,0.9696969696969697,0.7526881720430108,0.8611925708699902,0.9645390070921985,544,70,23,17
0.39,0.9388379204892966,0.9594356261022927,0.9696969696969697,0.7526881720430108,0.8611925708699902,0.9645390070921985,544,70,23,17
0.4,0.9388379204892966,0.9594356261022927,0.9696969696969697,0.7526881720430108,0.8611925708699902,0.9645390070921985,544,70,23,17
0.41,0.9388379204892966,0.9594356261022927,0.9696969696969697,0.7526881720430108,0.8611925708699902,0.9645390070921985,544,70,23,17
0.42,0.9388379204892966,0.9594356261022927,0.9696969696969697,0.7526881720430108,0.8611925708699902,0.9645390070921985,544,70,23,17
0.43,0.9403669724770642,0.9611307420494699,0.9696969696969697,0.7634408602150538,0.8665689149560117,0.9653948535936113,544,71,22,17
0.44,0.9434250764525994,0.9645390070921985,0.9696969696969697,0.7849462365591398,0.8773216031280547,0.9671111111111111,544,73,20,17
0.45,0.944954128440367,0.9662522202486679,0.9696969696969697,0.7956989247311828,0.8826979472140762,0.9679715302491103,544,74,19,17
0.46,0.944954128440367,0.9662522202486679,0.9696969696969697,0.7956989247311828,0.8826979472140762,0.9679715302491103,544,74,19,17
0.47,0.944954128440367,0.9662522202486679,0.9696969696969697,0.7956989247311828,0.8826979472140762,0.9679715302491103,544,74,19,17
0.48,0.9464831804281345,0.9679715302491103,0.9696969696969697,0.8064516129032258,0.8880742913000977,0.968833481745325,544,75,18,17
0.49,0.9464831804281345,0.9679715302491103,0.9696969696969697,0.8064516129032258,0.8880742913000977,0.968833481745325,544,75,18,17
0.5,0.9464831804281345,0.9679715302491103,0.9696969696969697,0.8064516129032258,0.8880742913000977,0.968833481745325,544,75,18,17
0.51,0.9464831804281345,0.9679715302491103,0.9696969696969697,0.8064516129032258,0.8880742913000977,0.968833481745325,544,75,18,17
0.52,0.9464831804281345,0.9679715302491103,0.9696969696969697,0.8064516129032258,0.8880742913000977,0.968833481745325,544,75,18,17
0.53,0.9480122324159022,0.9696969696969697,0.9696969696969697,0.8172043010752689,0.8934506353861194,0.9696969696969697,544,76,17,17
0.54,0.9480122324159022,0.9696969696969697,0.9696969696969697,0.8172043010752689,0.8934506353861194,0.9696969696969697,544,76,17,17
0.55,0.9480122324159022,0.9696969696969697,0.9696969696969697,0.8172043010752689,0.8934506353861194,0.9696969696969697,544,76,17,17
0.56,0.9480122324159022,0.9696969696969697,0.9696969696969697,0.8172043010752689,0.8934506353861194,0.9696969696969697,544,76,17,17
0.57,0.9480122324159022,0.9696969696969697,0.9696969696969697,0.8172043010752689,0.8934506353861194,0.9696969696969697,544,76,17,17
0.58,0.9464831804281345,0.9696428571428571,0.9679144385026738,0.8172043010752689,0.8925593697889713,0.9687778768956289,543,76,17,18
0.59,0.9464831804281345,0.9696428571428571,0.9679144385026738,0.8172043010752689,0.8925593697889713,0.9687778768956289,543,76,17,18
0.6,0.9464831804281345,0.9696428571428571,0.9679144385026738,0.8172043010752689,0.8925593697889713,0.9687778768956289,543,76,17,18
0.61,0.9464831804281345,0.9696428571428571,0.9679144385026738,0.8172043010752689,0.8925593697889713,0.9687778768956289,543,76,17,18
0.62,0.944954128440367,0.9695885509838998,0.966131907308378,0.8172043010752689,0.8916681041918234,0.9678571428571429,542,76,17,19
0.63,0.944954128440367,0.9712746858168761,0.964349376114082,0.8279569892473119,0.896153182680697,0.9677996422182469,541,77,16,20
0.64,0.944954128440367,0.9712746858168761,0.964349376114082,0.8279569892473119,0.896153182680697,0.9677996422182469,541,77,16,20
0.65,0.9434250764525994,0.9712230215827338,0.9625668449197861,0.8279569892473119,0.895261917083549,0.9668755595344674,540,77,16,21
0.66,0.9434250764525994,0.9712230215827338,0.9625668449197861,0.8279569892473119,0.895261917083549,0.9668755595344674,540,77,16,21
0.67,0.9434250764525994,0.9712230215827338,0.9625668449197861,0.8279569892473119,0.895261917083549,0.9668755595344674,540,77,16,21
0.68,0.9418960244648318,0.9711711711711711,0.9607843137254902,0.8279569892473119,0.894370651486401,0.9659498207885304,539,77,16,22
0.69,0.9418960244648318,0.9711711711711711,0.9607843137254902,0.8279569892473119,0.894370651486401,0.9659498207885304,539,77,16,22
0.7,0.9418960244648318,0.9711711711711711,0.9607843137254902,0.8279569892473119,0.894370651486401,0.9659498207885304,539,77,16,22
0.71,0.9403669724770642,0.9711191335740073,0.9590017825311943,0.8279569892473119,0.8934793858892531,0.9650224215246637,538,77,16,23
0.72,0.9403669724770642,0.9711191335740073,0.9590017825311943,0.8279569892473119,0.8934793858892531,0.9650224215246637,538,77,16,23
0.73,0.9403669724770642,0.9711191335740073,0.9590017825311943,0.8279569892473119,0.8934793858892531,0.9650224215246637,538,77,16,23
0.74,0.9403669724770642,0.9711191335740073,0.9590017825311943,0.8279569892473119,0.8934793858892531,0.9650224215246637,538,77,16,23
0.75,0.9403669724770642,0.9711191335740073,0.9590017825311943,0.8279569892473119,0.8934793858892531,0.9650224215246637,538,77,16,23
0.76,0.9403669724770642,0.9711191335740073,0.9590017825311943,0.8279569892473119,0.8934793858892531,0.9650224215246637,538,77,16,23
0.77,0.9418960244648318,0.972875226039783,0.9590017825311943,0.8387096774193549,0.8988557299752746,0.9658886894075404,538,78,15,23
0.78,0.9403669724770642,0.9728260869565217,0.9572192513368984,0.8387096774193549,0.8979644643781266,0.9649595687331537,537,78,15,24
0.79,0.9403669724770642,0.9728260869565217,0.9572192513368984,0.8387096774193549,0.8979644643781266,0.9649595687331537,537,78,15,24
0.8,0.9403669724770642,0.9745454545454545,0.9554367201426025,0.8494623655913979,0.9024495428670002,0.9648964896489649,536,79,14,25
0.81,0.9403669724770642,0.9745454545454545,0.9554367201426025,0.8494623655913979,0.9024495428670002,0.9648964896489649,536,79,14,25
0.82,0.9388379204892966,0.9744990892531876,0.9536541889483066,0.8494623655913979,0.9015582772698523,0.963963963963964,535,79,14,26
0.83,0.9388379204892966,0.9744990892531876,0.9536541889483066,0.8494623655913979,0.9015582772698523,0.963963963963964,535,79,14,26
0.84,0.9388379204892966,0.9744990892531876,0.9536541889483066,0.8494623655913979,0.9015582772698523,0.963963963963964,535,79,14,26
0.85,0.9403669724770642,0.9762773722627737,0.9536541889483066,0.8602150537634409,0.9069346213558738,0.9648331830477908,535,80,13,26
0.86,0.9403669724770642,0.9762773722627737,0.9536541889483066,0.8602150537634409,0.9069346213558738,0.9648331830477908,535,80,13,26
0.87,0.9403669724770642,0.9762773722627737,0.9536541889483066,0.8602150537634409,0.9069346213558738,0.9648331830477908,535,80,13,26
0.88,0.9403669724770642,0.9762773722627737,0.9536541889483066,0.8602150537634409,0.9069346213558738,0.9648331830477908,535,80,13,26
0.89,0.9388379204892966,0.9779816513761468,0.9500891265597148,0.8709677419354839,0.9105284342475993,0.9638336347197106,533,81,12,28
0.9,0.9357798165137615,0.9779005524861878,0.946524064171123,0.8709677419354839,0.9087459030533034,0.9619565217391305,531,81,12,30
0.91,0.9342507645259939,0.977859778597786,0.9447415329768271,0.8709677419354839,0.9078546374561555,0.9610154125113327,530,81,12,31
0.92,0.9357798165137615,0.9796672828096118,0.9447415329768271,0.8817204301075269,0.913230981542177,0.9618874773139746,530,82,11,31
0.93,0.9357798165137615,0.9796672828096118,0.9447415329768271,0.8817204301075269,0.913230981542177,0.9618874773139746,530,82,11,31
0.94,0.9342507645259939,0.9796296296296296,0.9429590017825312,0.8817204301075269,0.912339715945029,0.96094459582198,529,82,11,32
0.95,0.9327217125382263,0.9795918367346939,0.9411764705882353,0.8817204301075269,0.911448450347881,0.96,528,82,11,33
