group,object_index,mean_movement,median_movement,max_movement,movement_std,frame_count
pg1_8,5,166.65634551526293,155.31919422730454,355.4490118146343,94.2444246544027,97
pg1_8,6,149.09177618078746,152.61252974873975,361.4505498681666,93.01329324489427,97
pg1_8,7,170.53841874566254,169.37217399700748,354.8309456628607,92.16283828357338,97
pg1_8,8,187.591566507268,165.1098119434457,355.3990714675546,88.12492931440406,97
pg1_8,9,182.96783866796443,167.4577696993946,366.5276251525934,93.2559534583057,97
pg1_9,0,160.52774644921456,166.26826260276164,386.73020311322983,97.72455337183942,97
pg1_9,1,150.13569181448665,145.69537984851846,386.0945480060551,93.79859768702674,97
pg1_9,2,170.059791475371,173.44163283364233,375.3245262436229,81.53382010855307,97
pg1_9,3,182.00520738777882,180.73630617297636,385.852951265116,91.85595304538606,97
pg1_9,4,152.75816060815214,148.64854374953006,386.73020311322983,98.09302294470788,97
pg1_9,5,157.67590836958837,175.74018266915704,328.8453283840292,76.31129531508056,97
pg1_9,6,186.35922014694063,193.78529153357198,384.38294707231745,93.83119739065107,97
pg1_9,7,154.45202956339844,146.79449644401421,386.51778743028115,92.93713348391793,97
pg1_9,8,163.15896746416675,163.62457028209425,385.852951265116,92.54189823554404,97
pg1_9,9,170.10244815153078,173.690843457676,381.07118757523506,97.94311371264415,97
pg2_1,0,0.6925351902759932,0.5,12.165525060596439,1.395322716801128,97
pg2_1,1,0.08150578458684124,0.0,6.324555320336759,0.6497955425773548,97
pg2_1,2,0.2196961734344017,0.0,7.0710678118654755,0.8199257012059411,97
pg2_1,3,0.4894135279541178,0.5,6.082762530298219,0.7434311794923257,97
pg2_1,4,0.2252220869120796,0.0,5.0,0.5971899205130723,97
pg2_1,5,0.17819870957363274,0.0,6.082762530298219,0.6973750868039222,97
pg2_1,6,0.6613806389785586,0.5,5.522680508593631,0.8382768192259147,97
pg2_1,7,0.7045695743699795,0.5,6.96419413859206,0.9224900206433394,97
pg2_1,8,0.7292628320367412,0.5,10.124228365658293,1.3943301326735476,97
pg2_1,9,0.9874463625491882,1.118033988749895,5.522680508593631,0.8819545840108366,97
pg2_10,0,0.07050328675648729,0.0,3.3541019662496847,0.36667512523711565,97
pg2_10,1,0.19791666666666666,0.0,7.5,0.7896673739008772,97
pg2_10,2,0.0812216325514169,0.0,5.5901699437494745,0.5791708452147741,97
pg2_10,3,0.23695441403143125,0.0,4.301162633521313,0.5037736557790918,97
pg2_10,4,0.5386154919100824,0.0,6.800735254367722,0.9741380091350301,97
pg2_10,5,1.0829894547456054,1.118033988749895,3.3541019662496847,0.7247856214977776,97
pg2_10,6,1.1969335524673126,1.4142135623730951,3.5,1.1330703829761628,97
pg2_10,7,0.5527023710609421,0.5,2.692582403567252,0.6682571876965274,97
pg2_10,8,0.9813692348231221,0.5,9.5,1.2441178857432622,97
pg2_10,9,0.3640537038451532,0.0,4.6097722286464435,0.5851372350842692,97
pg2_11,0,0.11220835284019548,0.0,4.272001872658765,0.4621607309046172,97
pg2_11,1,0.18604869454030393,0.0,4.242640687119285,0.4885752088088218,97
pg2_11,2,0.299368274294891,0.0,1.5,0.36844408401285905,97
pg2_11,3,0.09292510027585303,0.0,1.8027756377319946,0.26499320489634354,97
pg2_11,4,0.7329199144478739,0.5,6.708203932499369,0.9286749264383396,97
pg2_11,5,0.41258078387329,0.0,3.1622776601683795,0.5930172740071804,97
pg2_11,6,0.9160112892793976,1.0,5.852349955359813,0.9744020488679666,97
